species;treatment;T number;seed set
IPPU;cross;1;1
IPPU;cross;2;2
IPPU;cross;3;1
IPPU;cross;4;2
IPPU;cross;5;1
IPPU;cross;6;6
IPPU;cross;7;0
IPPU;cross;8;0
IPPU;cross;9;0
IPPU;cross;10;6
IPPU;self;1;5
IPPU;self;2;4
IPPU;self;3;5
IPPU;self;4;5
IPPU;self;5;6
IPPU;self;6;6
IPPU;self;7;5
IPPU;self;8;6
IPPU;self;9;6
IPPU;self;10;4
IPPU;control;1;0
IPPU;control;2;0
IPPU;control;3;0
IPPU;control;4;0
IPPU;control;5;0
IPPU;control;6;0
IPPU;control;7;0
IPPU;control;8;0
IPPU;control;9;0
IPPU;control;10;0
IPPU;flower control;1;3
IPPU;flower control;2;2
IPPU;flower control;3;3
IPPU;flower control;4;0
IPPU;flower control;5;0
IPPU;flower control;6;0
IPPU;flower control;7;0
IPPU;flower control;8;0
IPPU;flower control;9;5
IPPU;flower control;10;6
IPPU;SOLY 50%;1;0
IPPU;SOLY 50%;2;0
IPPU;SOLY 50%;3;0
IPPU;SOLY 50%;4;0
IPPU;SOLY 50%;5;0
IPPU;SOLY 50%;6;0
IPPU;SOLY 50%;7;0
IPPU;SOLY 50%;8;0
IPPU;SOLY 50%;9;0
IPPU;SOLY 50%;10;0
IPPU;SOLY 100%;1;0
IPPU;SOLY 100%;2;0
IPPU;SOLY 100%;3;0
IPPU;SOLY 100%;4;0
IPPU;SOLY 100%;5;0
IPPU;SOLY 100%;6;0
IPPU;SOLY 100%;7;0
IPPU;SOLY 100%;8;0
IPPU;SOLY 100%;9;0
IPPU;SOLY 100%;10;0
IPPU;PEIN 50%;1;0
IPPU;PEIN 50%;2;0
IPPU;PEIN 50%;3;0
IPPU;PEIN 50%;4;0
IPPU;PEIN 50%;5;0
IPPU;PEIN 50%;6;5
IPPU;PEIN 50%;7;6
IPPU;PEIN 50%;8;0
IPPU;PEIN 50%;9;1
IPPU;PEIN 50%;10;0
IPPU;PEIN 100%;1;0
IPPU;PEIN 100%;2;0
IPPU;PEIN 100%;3;0
IPPU;PEIN 100%;4;0
IPPU;PEIN 100%;5;0
IPPU;PEIN 100%;6;0
IPPU;PEIN 100%;7;0
IPPU;PEIN 100%;8;0
IPPU;PEIN 100%;9;0
IPPU;PEIN 100%;10;0
IPPU;CAAN 50%;1;0
IPPU;CAAN 50%;2;0
IPPU;CAAN 50%;3;0
IPPU;CAAN 50%;4;0
IPPU;CAAN 50%;5;0
IPPU;CAAN 50%;6;0
IPPU;CAAN 50%;7;0
IPPU;CAAN 50%;8;0
IPPU;CAAN 50%;9;0
IPPU;CAAN 50%;10;0
IPPU;CAAN 100%;1;0
IPPU;CAAN 100%;2;0
IPPU;CAAN 100%;3;0
IPPU;CAAN 100%;4;0
IPPU;CAAN 100%;5;0
IPPU;CAAN 100%;6;0
IPPU;CAAN 100%;7;0
IPPU;CAAN 100%;8;0
IPPU;CAAN 100%;9;0
IPPU;CAAN 100%;10;0
IPPU;SOME 50%;1;3
IPPU;SOME 50%;2;0
IPPU;SOME 50%;3;0
IPPU;SOME 50%;4;6
IPPU;SOME 50%;5;0
IPPU;SOME 50%;6;0
IPPU;SOME 50%;7;5
IPPU;SOME 50%;8;0
IPPU;SOME 50%;9;1
IPPU;SOME 50%;10;0
IPPU;SOME 100%;1;0
IPPU;SOME 100%;2;0
IPPU;SOME 100%;3;0
IPPU;SOME 100%;4;0
IPPU;SOME 100%;5;0
IPPU;SOME 100%;6;0
IPPU;SOME 100%;7;0
IPPU;SOME 100%;8;0
IPPU;SOME 100%;9;0
IPPU;SOME 100%;10;0
IPPU;SIAL 50%;1;0
IPPU;SIAL 50%;2;0
IPPU;SIAL 50%;3;0
IPPU;SIAL 50%;4;2
IPPU;SIAL 50%;5;2
IPPU;SIAL 50%;6;4
IPPU;SIAL 50%;7;2
IPPU;SIAL 50%;8;0
IPPU;SIAL 50%;9;0
IPPU;SIAL 50%;10;0
IPPU;SIAL 100%;1;0
IPPU;SIAL 100%;2;0
IPPU;SIAL 100%;3;0
IPPU;SIAL 100%;4;0
IPPU;SIAL 100%;5;0
IPPU;SIAL 100%;6;0
IPPU;SIAL 100%;7;0
IPPU;SIAL 100%;8;0
IPPU;SIAL 100%;9;0
IPPU;SIAL 100%;10;0
IPPU;BROL 50%;1;6
IPPU;BROL 50%;2;4
IPPU;BROL 50%;3;3
IPPU;BROL 50%;4;4
IPPU;BROL 50%;5;0
IPPU;BROL 50%;6;0
IPPU;BROL 50%;7;5
IPPU;BROL 50%;8;0
IPPU;BROL 50%;9;6
IPPU;BROL 50%;10;4
IPPU;BROL 100%;1;0
IPPU;BROL 100%;2;0
IPPU;BROL 100%;3;0
IPPU;BROL 100%;4;0
IPPU;BROL 100%;5;0
IPPU;BROL 100%;6;0
IPPU;BROL 100%;7;0
IPPU;BROL 100%;8;0
IPPU;BROL 100%;9;0
IPPU;BROL 100%;10;0
IPPU;BRRA 50%;1;0
IPPU;BRRA 50%;2;2
IPPU;BRRA 50%;3;1
IPPU;BRRA 50%;4;1
IPPU;BRRA 50%;5;0
IPPU;BRRA 50%;6;0
IPPU;BRRA 50%;7;4
IPPU;BRRA 50%;8;0
IPPU;BRRA 50%;9;0
IPPU;BRRA 50%;10;0
IPPU;BRRA 100%;1;0
IPPU;BRRA 100%;2;0
IPPU;BRRA 100%;3;0
IPPU;BRRA 100%;4;0
IPPU;BRRA 100%;5;0
IPPU;BRRA 100%;6;0
IPPU;BRRA 100%;7;0
IPPU;BRRA 100%;8;0
IPPU;BRRA 100%;9;0
IPPU;BRRA 100%;10;0
IPPU;ERSA 50%;1;1
IPPU;ERSA 50%;2;0
IPPU;ERSA 50%;3;0
IPPU;ERSA 50%;4;0
IPPU;ERSA 50%;5;0
IPPU;ERSA 50%;6;0
IPPU;ERSA 50%;7;0
IPPU;ERSA 50%;8;0
IPPU;ERSA 50%;9;0
IPPU;ERSA 50%;10;0
IPPU;ERSA 100%;1;0
IPPU;ERSA 100%;2;0
IPPU;ERSA 100%;3;0
IPPU;ERSA 100%;4;0
IPPU;ERSA 100%;5;0
IPPU;ERSA 100%;6;0
IPPU;ERSA 100%;7;0
IPPU;ERSA 100%;8;0
IPPU;ERSA 100%;9;0
IPPU;ERSA 100%;10;0
IPPU;IPAQ 50%;1;0
IPPU;IPAQ 50%;2;0
IPPU;IPAQ 50%;3;6
IPPU;IPAQ 50%;4;4
IPPU;IPAQ 50%;5;0
IPPU;IPAQ 50%;6;3
IPPU;IPAQ 50%;7;5
