"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","SOLY","BROL 100%",1,0,"Brassicaceae"
"2","SOLY","BROL 100%",2,0,"Brassicaceae"
"3","SOLY","BROL 100%",3,0,"Brassicaceae"
"4","SOLY","BROL 100%",4,0,"Brassicaceae"
"5","SOLY","BROL 100%",5,0,"Brassicaceae"
"6","SOLY","BROL 100%",6,0,"Brassicaceae"
"7","SOLY","BROL 100%",7,0,"Brassicaceae"
"8","SOLY","BROL 100%",8,0,"Brassicaceae"
"9","SOLY","BROL 100%",9,0,"Brassicaceae"
"10","SOLY","BROL 100%",10,0,"Brassicaceae"
"11","SOLY","BRRA 100%",1,0,"Brassicaceae"
"12","SOLY","BRRA 100%",2,0,"Brassicaceae"
"13","SOLY","BRRA 100%",3,0,"Brassicaceae"
"14","SOLY","BRRA 100%",4,0,"Brassicaceae"
"15","SOLY","BRRA 100%",5,0,"Brassicaceae"
"16","SOLY","BRRA 100%",6,0,"Brassicaceae"
"17","SOLY","BRRA 100%",7,0,"Brassicaceae"
"18","SOLY","BRRA 100%",8,0,"Brassicaceae"
"19","SOLY","BRRA 100%",9,0,"Brassicaceae"
"20","SOLY","BRRA 100%",10,0,"Brassicaceae"
"21","SOLY","ERSA 100%",1,0,"Brassicaceae"
"22","SOLY","ERSA 100%",2,0,"Brassicaceae"
"23","SOLY","ERSA 100%",3,0,"Brassicaceae"
"24","SOLY","ERSA 100%",4,0,"Brassicaceae"
"25","SOLY","ERSA 100%",5,0,"Brassicaceae"
"26","SOLY","ERSA 100%",6,0,"Brassicaceae"
"27","SOLY","ERSA 100%",7,0,"Brassicaceae"
"28","SOLY","ERSA 100%",8,0,"Brassicaceae"
"29","SOLY","ERSA 100%",9,0,"Brassicaceae"
"30","SOLY","ERSA 100%",10,0,"Brassicaceae"
"31","SOLY","SIAL 100%",1,0,"Brassicaceae"
"32","SOLY","SIAL 100%",2,0,"Brassicaceae"
"33","SOLY","SIAL 100%",3,0,"Brassicaceae"
"34","SOLY","SIAL 100%",4,3,"Brassicaceae"
"35","SOLY","SIAL 100%",5,0,"Brassicaceae"
"36","SOLY","SIAL 100%",6,0,"Brassicaceae"
"37","SOLY","SIAL 100%",7,0,"Brassicaceae"
"38","SOLY","SIAL 100%",8,0,"Brassicaceae"
"39","SOLY","SIAL 100%",9,0,"Brassicaceae"
"40","SOLY","SIAL 100%",10,0,"Brassicaceae"
"41","SOLY","IPAQ 100%",1,0,"Convolvulaceae"
"42","SOLY","IPAQ 100%",2,0,"Convolvulaceae"
"43","SOLY","IPAQ 100%",3,0,"Convolvulaceae"
"44","SOLY","IPAQ 100%",4,0,"Convolvulaceae"
"45","SOLY","IPAQ 100%",5,0,"Convolvulaceae"
"46","SOLY","IPAQ 100%",6,0,"Convolvulaceae"
