"","pollen","species","family"
"1",359000,"Capsicum","Solanaceae"
"2",315750,"Capsicum","Solanaceae"
"3",341750,"Capsicum","Solanaceae"
"4",322000,"Capsicum","Solanaceae"
"5",256500,"Capsicum","Solanaceae"
"6",299250,"Capsicum","Solanaceae"
"7",278750,"Capsicum","Solanaceae"
"8",253500,"Capsicum","Solanaceae"
"9",175750,"Capsicum","Solanaceae"
"10",293750,"Capsicum","Solanaceae"
"11",317500,"Capsicum","Solanaceae"
"12",219000,"Capsicum","Solanaceae"
"13",306500,"Capsicum","Solanaceae"
"14",312000,"Capsicum","Solanaceae"
"15",269000,"Capsicum","Solanaceae"
"16",215250,"Capsicum","Solanaceae"
"17",329750,"Capsicum","Solanaceae"
"18",247500,"Capsicum","Solanaceae"
"19",163750,"Capsicum","Solanaceae"
"20",260750,"Capsicum","Solanaceae"
"21",161500,"Petunia","Solanaceae"
"22",175250,"Petunia","Solanaceae"
"23",228250,"Petunia","Solanaceae"
"24",138000,"Petunia","Solanaceae"
"25",177000,"Petunia","Solanaceae"
"26",243250,"Petunia","Solanaceae"
"27",315000,"Petunia","Solanaceae"
"28",324500,"Petunia","Solanaceae"
"29",325750,"Petunia","Solanaceae"
"30",269000,"Petunia","Solanaceae"
"31",339000,"Petunia","Solanaceae"
"32",367500,"Petunia","Solanaceae"
"33",549250,"Petunia","Solanaceae"
"34",479250,"Petunia","Solanaceae"
"35",344250,"Petunia","Solanaceae"
"36",372500,"Petunia","Solanaceae"
"37",491000,"Petunia","Solanaceae"
"38",418750,"Petunia","Solanaceae"
"39",234000,"Petunia","Solanaceae"
"40",285250,"Petunia","Solanaceae"
"41",209500,"Tomato","Solanaceae"
"42",95250,"Tomato","Solanaceae"
"43",186000,"Tomato","Solanaceae"
"44",299000,"Tomato","Solanaceae"
"45",184750,"Tomato","Solanaceae"
"46",300250,"Tomato","Solanaceae"
"47",382500,"Tomato","Solanaceae"
"48",123750,"Tomato","Solanaceae"
"49",239500,"Tomato","Solanaceae"
"50",263000,"Tomato","Solanaceae"
"51",364500,"Tomato","Solanaceae"
"52",273250,"Tomato","Solanaceae"
"53",301000,"Tomato","Solanaceae"
"54",299000,"Tomato","Solanaceae"
"55",329500,"Tomato","Solanaceae"
"56",206750,"Tomato","Solanaceae"
"57",427000,"Tomato","Solanaceae"
"58",284250,"Tomato","Solanaceae"
"59",222250,"Tomato","Solanaceae"
"60",213750,"Tomato","Solanaceae"
"61",1230750,"Eggplant","Solanaceae"
"62",1356750,"Eggplant","Solanaceae"
"63",1248750,"Eggplant","Solanaceae"
"64",1273500,"Eggplant","Solanaceae"
"65",1346000,"Eggplant","Solanaceae"
"66",1674000,"Eggplant","Solanaceae"
"67",1801500,"Eggplant","Solanaceae"
"68",2045250,"Eggplant","Solanaceae"
"69",1649250,"Eggplant","Solanaceae"
"70",1784250,"Eggplant","Solanaceae"
"71",1680750,"Eggplant","Solanaceae"
"72",1577750,"Eggplant","Solanaceae"
"73",2230750,"Eggplant","Solanaceae"
"74",1633250,"Eggplant","Solanaceae"
"75",1599000,"Eggplant","Solanaceae"
"76",1230250,"Eggplant","Solanaceae"
"77",1140500,"Eggplant","Solanaceae"
"78",1134500,"Eggplant","Solanaceae"
"79",1144500,"Eggplant","Solanaceae"
"80",1276750,"Eggplant","Solanaceae"
"81",320500,"Wild cabbage","Brassicaceae"
"82",406500,"Wild cabbage","Brassicaceae"
"83",367750,"Wild cabbage","Brassicaceae"
"84",475750,"Wild cabbage","Brassicaceae"
"85",490500,"Wild cabbage","Brassicaceae"
"86",480000,"Wild cabbage","Brassicaceae"
"87",246250,"Wild cabbage","Brassicaceae"
"88",296750,"Wild cabbage","Brassicaceae"
"89",310750,"Wild cabbage","Brassicaceae"
"90",417000,"Wild cabbage","Brassicaceae"
"91",446750,"Wild cabbage","Brassicaceae"
"92",220500,"Wild cabbage","Brassicaceae"
"93",375750,"Wild cabbage","Brassicaceae"
"94",545000,"Wild cabbage","Brassicaceae"
"95",584250,"Wild cabbage","Brassicaceae"
"96",366750,"Wild cabbage","Brassicaceae"
"97",196500,"Wild cabbage","Brassicaceae"
"98",430750,"Wild cabbage","Brassicaceae"
"99",274000,"Wild cabbage","Brassicaceae"
"100",314000,"Wild cabbage","Brassicaceae"
"101",46500,"White mustard","Brassicaceae"
