"","species","um","trait","species_common","family"
"120","IPPU",26226.48,"style legth","Morning glory","Convolvulaceae"
"128","IPPU",28269.28,"style legth","Morning glory","Convolvulaceae"
"136","IPPU",27937.27,"style legth","Morning glory","Convolvulaceae"
"144","IPPU",30287.7,"style legth","Morning glory","Convolvulaceae"
"152","IPPU",27580.72,"style legth","Morning glory","Convolvulaceae"
"160","IPPU",26701.57,"style legth","Morning glory","Convolvulaceae"
"168","IPPU",27811.05,"style legth","Morning glory","Convolvulaceae"
"176","IPPU",28912.37,"style legth","Morning glory","Convolvulaceae"
"184","IPPU",28132.13,"style legth","Morning glory","Convolvulaceae"
"192","IPPU",31136.04,"style legth","Morning glory","Convolvulaceae"
"200","IPPU",28543.67,"style legth","Morning glory","Convolvulaceae"
"208","IPPU",27562.13,"style legth","Morning glory","Convolvulaceae"
"216","IPPU",29363.29,"style legth","Morning glory","Convolvulaceae"
"224","IPPU",26757.39,"style legth","Morning glory","Convolvulaceae"
"1033","IPAQ",19651.3,"style length","Water morning glory","Convolvulaceae"
"1042","IPAQ",19711.56,"style legth","Water morning glory","Convolvulaceae"
"1051","IPAQ",20532.31,"style legth","Water morning glory","Convolvulaceae"
"1060","IPAQ",23081.59,"style legth","Water morning glory","Convolvulaceae"
"1069","IPAQ",18709.01,"style legth","Water morning glory","Convolvulaceae"
"1078","IPAQ",19792.25,"style legth","Water morning glory","Convolvulaceae"
"1087","IPAQ",18893.3,"style legth","Water morning glory","Convolvulaceae"
"1096","IPAQ",20010.24,"style legth","Water morning glory","Convolvulaceae"
"1105","IPAQ",17916.06,"style legth","Water morning glory","Convolvulaceae"
"1114","IPAQ",22578.63,"style legth","Water morning glory","Convolvulaceae"
"1123","IPAQ",16309.16,"style legth","Water morning glory","Convolvulaceae"
"1132","IPAQ",16642.3,"style legth","Water morning glory","Convolvulaceae"
"1141","IPAQ",24006.58,"style legth","Water morning glory","Convolvulaceae"
"1150","IPAQ",15969.18,"style legth","Water morning glory","Convolvulaceae"
"1159","IPAQ",17816.08,"style legth","Water morning glory","Convolvulaceae"
