"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",4.58971079241803,0.543330376581205,108,8.44736644635599,1.52243140578526e-13
"relevel(Treatment, ref = ""CROSS"")Brassica oleracea",-1.79880374134304,0.768385180179235,108,-2.34101826498456,0.0210667671443192
"relevel(Treatment, ref = ""CROSS"")Brassica rapa",-2.50511850466387,0.768385180179235,108,-3.26023792400515,0.0014894580296062
"relevel(Treatment, ref = ""CROSS"")CONTROL",-4.58971079241804,0.768385180179235,108,-5.97319015359906,3.0277665436917e-08
"relevel(Treatment, ref = ""CROSS"")Eruca vesicaria",-0.627819275962641,0.768385180179232,108,-0.817063228387874,0.415691049540121
"relevel(Treatment, ref = ""CROSS"")FLOWER CONTROL",-3.46417621878454,0.768385180179234,108,-4.50838499771233,1.66494794219589e-05
"relevel(Treatment, ref = ""CROSS"")Ipomoea aquatica",-1.36312486924817,0.768385180179236,108,-1.77401244116942,0.0788792389550689
"relevel(Treatment, ref = ""CROSS"")Ipomoea purpurea",-3.995693667146,0.768385180179235,108,-5.20011807907846,9.51870486567924e-07
"relevel(Treatment, ref = ""CROSS"")Petunia integrifolia",-4.58971079241803,0.768385180179234,108,-5.97319015359905,3.02776654369178e-08
"relevel(Treatment, ref = ""CROSS"")SELF",-0.614870012076397,0.768385180179234,108,-0.800210659884112,0.425345449596617
"relevel(Treatment, ref = ""CROSS"")Sinapis alba",-3.63354067030891,0.768385180179234,108,-4.72880108054837,6.86278612172437e-06
"relevel(Treatment, ref = ""CROSS"")Solanum lycopersicum",-1.52125109899337,0.768385180179234,108,-1.97980275808875,0.0502697919036361
"relevel(Treatment, ref = ""CROSS"")Solanum melongena",-3.29465868037347,0.768385180179234,108,-4.2877696829147,3.93942119411497e-05
