"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.896699411334445,0.221504690519165,99,4.04821861439029,0.000102531182167689
"relevel(Treatment, ref = ""Cross"")Brassica oleracea",-0.48238593869529,0.311401368925573,99,-1.5490809830402,0.124553200870577
"relevel(Treatment, ref = ""Cross"")Brassica rapa",-0.896699411334447,0.311401368925573,99,-2.87956155885995,0.00488094825536269
"relevel(Treatment, ref = ""Cross"")Capsicum annuum",0.669703424766648,0.311401368925573,99,2.15061169151993,0.0339413256032042
"relevel(Treatment, ref = ""Cross"")Control",-0.556579673168229,0.311401368925573,99,-1.78733855630948,0.0769428720062774
"relevel(Treatment, ref = ""Cross"")Eruca vesicaria",-0.541164605185503,0.311401368925573,99,-1.7378363076973,0.0853491601342052
"relevel(Treatment, ref = ""Cross"")Flower Control",-0.758069975222455,0.311401368925573,99,-2.43438228238373,0.016708242439515
"relevel(Treatment, ref = ""Cross"")Ipomoea purpurea",-0.71752346441164,0.311401368925573,99,-2.30417569096536,0.0233024547430535
"relevel(Treatment, ref = ""Cross"")Petunia integrifolia",0.479194609313142,0.311401368925573,99,1.5388326999541,0.127035350741827
"relevel(Treatment, ref = ""Cross"")Self",0.226621744882317,0.311401368925573,99,0.727748068880459,0.468485500306323
"relevel(Treatment, ref = ""Cross"")Solanum lycopersicum",0.521315955820772,0.311401368925573,99,1.67409654498138,0.0972682454505379
"relevel(Treatment, ref = ""Cross"")Solanum melongena",0.199428373333954,0.311401368925573,99,0.64042227566963,0.523377645339889
