"","species","stigma_type","Selfing_rate","pollen_size","mean_pollen_anther","mean_ovules","pollen_ovule_ratio","anthers","stigma_area","stigma_length","stigma_surface","stigma_width","style_length","style_width","ovary_width","ovary_length"
"5","Brassica oleracea",1,0,27.72,42033,29,8696.48,6,622167.056666667,527.81,865.476666666667,884.876666666667,527.81,785.043333333333,1112.202,5583.37
"6","Brassica rapa",1,0,25.35,7133,26,1646.08,6,372486.322666667,372.342,719.971333333333,733.96,372.342,517.278,877.757333333333,3531.94066666667
"2","Capsicum annuum",0,0.8,32.46,30761,241,765.83,6,1157632.71466667,57117.6346666667,1287.14533333333,1177.26733333333,57117.6346666667,1057.226,5438.142,3148.36933333333
"7","Eruca versicaria",1,0.1,24.95,22151,24,5537.75,6,322905.56,733.236,682.798,668.011333333333,733.236,730.842333333333,937.486666666667,4423.41733333333
"9","Ipomoea aquatica",1,0.6,70.1,858,4,1072.5,5,3255360.52266667,2519.84066666667,2434.15133333333,2251.70133333333,2519.84066666667,453.062333333333,1416.56666666667,2384.94666666667
"10","Ipomoea purpurea",1,1,97.59,654,6,545,5,2120884.93666667,1238.398,1882.77133333333,1878.228,1238.398,2283.69333333333,1573.478,1056.53666666667
"1","Petunia integrifolia",0,0.9,24.74,34657,220,787.66,5,1168415.58,799.757333333333,1553.87533333333,1322.43733333333,799.757333333333,449.184333333333,1771.59,3128.93
"8","Sinapis alba",1,0.7,33.59,3507,6,3507,6,512073.739333333,631.037333333333,968.834285714286,55577.222,631.037333333333,773.863333333333,1073.178,1981.31733333333
"3","Solanum lycopersicum",0,0.7,22,28915,92,1885.76,6,91567.1442857143,190.221428571429,334.222857142857,351.599285714286,190.221428571429,675.292666666667,1133.398,1161.32866666667
"4","Solanum melongena",0,1,25.18,166989,1010,992.01,6,1233243.98,961.825333333333,1392.854,1332.16266666667,961.825333333333,962.628,3554.43333333333,4020.48733333333
