"","ovules","species","family"
"1",287,"Capsicum","solanaceae"
"2",195,"Capsicum","solanaceae"
"3",203,"Capsicum","solanaceae"
"4",129,"Capsicum","solanaceae"
"5",178,"Capsicum","solanaceae"
"6",148,"Capsicum","solanaceae"
"7",243,"Capsicum","solanaceae"
"8",248,"Capsicum","solanaceae"
"9",245,"Capsicum","solanaceae"
"10",218,"Capsicum","solanaceae"
"11",189,"Capsicum","solanaceae"
"12",273,"Capsicum","solanaceae"
"13",485,"Capsicum","solanaceae"
"14",297,"Capsicum","solanaceae"
"15",274,"Capsicum","solanaceae"
"16",131,"Tomato","solanaceae"
"17",103,"Tomato","solanaceae"
"18",87,"Tomato","solanaceae"
"19",116,"Tomato","solanaceae"
"20",164,"Tomato","solanaceae"
"21",79,"Tomato","solanaceae"
"22",86,"Tomato","solanaceae"
"23",89,"Tomato","solanaceae"
"24",54,"Tomato","solanaceae"
"25",55,"Tomato","solanaceae"
"26",80,"Tomato","solanaceae"
"27",58,"Tomato","solanaceae"
"28",72,"Tomato","solanaceae"
"29",91,"Tomato","solanaceae"
"30",117,"Tomato","solanaceae"
"31",1316,"Eggplant","solanaceae"
"32",800,"Eggplant","solanaceae"
"33",924,"Eggplant","solanaceae"
"34",1079,"Eggplant","solanaceae"
"35",893,"Eggplant","solanaceae"
"36",1232,"Eggplant","solanaceae"
"37",1540,"Eggplant","solanaceae"
"38",773,"Eggplant","solanaceae"
"39",468,"Eggplant","solanaceae"
"40",814,"Eggplant","solanaceae"
"41",952,"Eggplant","solanaceae"
"42",1335,"Eggplant","solanaceae"
"43",793,"Eggplant","solanaceae"
"44",833,"Eggplant","solanaceae"
"45",1401,"Eggplant","solanaceae"
"46",138,"Petunia","solanaceae"
"47",225,"Petunia","solanaceae"
"48",237,"Petunia","solanaceae"
"49",256,"Petunia","solanaceae"
"50",211,"Petunia","solanaceae"
"51",240,"Petunia","solanaceae"
"52",247,"Petunia","solanaceae"
"53",206,"Petunia","solanaceae"
"54",179,"Petunia","solanaceae"
"55",260,"Petunia","solanaceae"
"56",152,"Petunia","solanaceae"
"57",203,"Petunia","solanaceae"
"58",311,"Petunia","solanaceae"
"59",237,"Petunia","solanaceae"
"60",203,"Petunia","solanaceae"
"61",28,"Wild cabagge","brassicaceae"
"62",34,"Wild cabagge","brassicaceae"
"63",29,"Wild cabagge","brassicaceae"
"64",35,"Wild cabagge","brassicaceae"
"65",38,"Wild cabagge","brassicaceae"
"66",33,"Wild cabagge","brassicaceae"
"67",28,"Wild cabagge","brassicaceae"
"68",28,"Wild cabagge","brassicaceae"
"69",21,"Wild cabagge","brassicaceae"
"70",28,"Wild cabagge","brassicaceae"
"71",25,"Wild cabagge","brassicaceae"
"72",28,"Wild cabagge","brassicaceae"
"73",24,"Wild cabagge","brassicaceae"
"74",28,"Wild cabagge","brassicaceae"
"75",32,"Wild cabagge","brassicaceae"
"76",26,"Pak choi","brassicaceae"
"77",30,"Pak choi","brassicaceae"
"78",23,"Pak choi","brassicaceae"
"79",27,"Pak choi","brassicaceae"
"80",31,"Pak choi","brassicaceae"
"81",26,"Pak choi","brassicaceae"
"82",31,"Pak choi","brassicaceae"
"83",24,"Pak choi","brassicaceae"
"84",22,"Pak choi","brassicaceae"
"85",28,"Pak choi","brassicaceae"
"86",23,"Pak choi","brassicaceae"
"87",25,"Pak choi","brassicaceae"
"88",29,"Pak choi","brassicaceae"
"89",24,"Pak choi","brassicaceae"
"90",28,"Pak choi","brassicaceae"
"91",25,"Rocket","brassicaceae"
"92",22,"Rocket","brassicaceae"
"93",18,"Rocket","brassicaceae"
"94",32,"Rocket","brassicaceae"
"95",26,"Rocket","brassicaceae"
"96",18,"Rocket","brassicaceae"
"97",25,"Rocket","brassicaceae"
"98",26,"Rocket","brassicaceae"
"99",25,"Rocket","brassicaceae"
"100",24,"Rocket","brassicaceae"
"101",25,"Rocket","brassicaceae"
"102",21,"Rocket","brassicaceae"
"103",25,"Rocket","brassicaceae"
"104",27,"Rocket","brassicaceae"
"105",22,"Rocket","brassicaceae"
"106",5,"White mustard","brassicaceae"
"107",5,"White mustard","brassicaceae"
"108",6,"White mustard","brassicaceae"
"109",6,"White mustard","brassicaceae"
"110",5,"White mustard","brassicaceae"
"111",5,"White mustard","brassicaceae"
"112",6,"White mustard","brassicaceae"
"113",5,"White mustard","brassicaceae"
"114",9,"White mustard","brassicaceae"
"115",5,"White mustard","brassicaceae"
"116",9,"White mustard","brassicaceae"
"117",6,"White mustard","brassicaceae"
"118",6,"White mustard","brassicaceae"
"119",11,"White mustard","brassicaceae"
"120",6,"White mustard","brassicaceae"
"121",6,"Water morning glory","convolvulaceae"
"122",6,"Water morning glory","convolvulaceae"
"123",6,"Water morning glory","convolvulaceae"
"124",6,"Water morning glory","convolvulaceae"
"125",6,"Water morning glory","convolvulaceae"
