Ginkgo_biloba_Outgroup;;;;;;;;;;;
Sinapis_alba;0.135;;;;;;;;;;
Eruca_vesicaria;0.140;0.012;;;;;;;;;
Brassica_oleracea;0.143;0.012;0.004;;;;;;;;
Brassica_rapa;0.143;0.012;0.004;0.000;;;;;;;
Ipomoea_purpurea;0.156;0.114;0.124;0.121;0.121;;;;;;
Ipomoea_aquatica;0.156;0.109;0.119;0.116;0.116;0.012;;;;;
Petunia_integrifolia;0.137;0.104;0.104;0.107;0.107;0.064;0.060;;;;
Capsicum_annuum;0.141;0.112;0.116;0.119;0.119;0.053;0.056;0.030;;;
Solanum_lycopersicum;0.139;0.111;0.111;0.114;0.114;0.060;0.062;0.028;0.018;;
Solanum_melongena;0.137;0.109;0.114;0.116;0.116;0.056;0.058;0.024;0.010;0.008;
