"","focal","non_focal","ratio","variable","spp"
"6","C. annuum","I. purpurea",95,"focal_pollen","C. annuum-I. purpurea"
"7","E. sativa","I. purpurea",99,"focal_pollen","E. sativa-I. purpurea"
"8","B. oleracea","I. purpurea",63,"focal_pollen","B. oleracea-I. purpurea"
"10","B. rapa","I. purpurea",99,"focal_pollen","B. rapa-I. purpurea"
"13","S. melongena","I. aquatica",74,"focal_pollen","S. melongena-I. aquatica"
"14","P. integrifolia","I. aquatica",49,"focal_pollen","P. integrifolia-I. aquatica"
"15","S. lycopersicum","I. aquatica",84,"focal_pollen","S. lycopersicum-I. aquatica"
"19","S. alba","I. aquatica",99,"focal_pollen","S. alba-I. aquatica"
"21","I. purpurea","S. melongena",33,"focal_pollen","I. purpurea-S. melongena"
"29","S. alba","S. melongena",73,"focal_pollen","S. alba-S. melongena"
"37","E. sativa","P. integrifolia",67,"focal_pollen","E. sativa-P. integrifolia"
"50","B. rapa","S. lycopersicum",83,"focal_pollen","B. rapa-S. lycopersicum"
"52","I. aquatica","C. annuum",31,"focal_pollen","I. aquatica-C. annuum"
"58","B. oleracea","C. annuum",57,"focal_pollen","B. oleracea-C. annuum"
"61","I. purpurea","E. sativa",19,"focal_pollen","I. purpurea-E. sativa"
"63","S. melongena","E. sativa",46,"focal_pollen","S. melongena-E. sativa"
"64","P. integrifolia","E. sativa",49,"focal_pollen","P. integrifolia-E. sativa"
"82","I. aquatica","S. alba",29,"focal_pollen","I. aquatica-S. alba"
"86","C. annuum","S. alba",38,"focal_pollen","C. annuum-S. alba"
"95","S. lycopersicum","B. rapa",49,"focal_pollen","S. lycopersicum-B. rapa"
"62","C. annuum","I. purpurea",5,"non_focal_pollen","C. annuum-I. purpurea"
"71","E. sativa","I. purpurea",1,"non_focal_pollen","E. sativa-I. purpurea"
"81","B. oleracea","I. purpurea",37,"non_focal_pollen","B. oleracea-I. purpurea"
"101","B. rapa","I. purpurea",1,"non_focal_pollen","B. rapa-I. purpurea"
"131","S. melongena","I. aquatica",26,"non_focal_pollen","S. melongena-I. aquatica"
"141","P. integrifolia","I. aquatica",51,"non_focal_pollen","P. integrifolia-I. aquatica"
"151","S. lycopersicum","I. aquatica",16,"non_focal_pollen","S. lycopersicum-I. aquatica"
"191","S. alba","I. aquatica",1,"non_focal_pollen","S. alba-I. aquatica"
"211","I. purpurea","S. melongena",67,"non_focal_pollen","I. purpurea-S. melongena"
"291","S. alba","S. melongena",27,"non_focal_pollen","S. alba-S. melongena"
"371","E. sativa","P. integrifolia",33,"non_focal_pollen","E. sativa-P. integrifolia"
"501","B. rapa","S. lycopersicum",17,"non_focal_pollen","B. rapa-S. lycopersicum"
"521","I. aquatica","C. annuum",69,"non_focal_pollen","I. aquatica-C. annuum"
"581","B. oleracea","C. annuum",43,"non_focal_pollen","B. oleracea-C. annuum"
"611","I. purpurea","E. sativa",81,"non_focal_pollen","I. purpurea-E. sativa"
"631","S. melongena","E. sativa",54,"non_focal_pollen","S. melongena-E. sativa"
"641","P. integrifolia","E. sativa",51,"non_focal_pollen","P. integrifolia-E. sativa"
"821","I. aquatica","S. alba",71,"non_focal_pollen","I. aquatica-S. alba"
"861","C. annuum","S. alba",62,"non_focal_pollen","C. annuum-S. alba"
"951","S. lycopersicum","B. rapa",51,"non_focal_pollen","S. lycopersicum-B. rapa"
