"","Species","Treatment","Treatment_number","Seed_set","Scale_seed"
"1","SOLY","IPPU 50%",1,0,-0.555542084180659
"2","SOLY","IPPU 50%",2,0,-0.555542084180659
"3","SOLY","IPPU 50%",3,0,-0.555542084180659
"4","SOLY","IPPU 50%",4,0,-0.555542084180659
"5","SOLY","IPPU 50%",5,5,-0.394696032030062
"6","SOLY","IPPU 50%",6,2,-0.49120366332042
"7","SOLY","IPPU 50%",7,0,-0.555542084180659
"8","SOLY","IPPU 50%",8,4,-0.426865242460181
"9","SOLY","IPPU 50%",9,3,-0.459034452890301
"10","SOLY","IPPU 50%",10,0,-0.555542084180659
"21","SOLY","SIAL 50%",1,0,-0.555542084180659
"22","SOLY","SIAL 50%",2,1,-0.523372873750539
"23","SOLY","SIAL 50%",3,3,-0.459034452890301
"24","SOLY","SIAL 50%",4,3,-0.459034452890301
"25","SOLY","SIAL 50%",5,0,-0.555542084180659
"26","SOLY","SIAL 50%",6,0,-0.555542084180659
"27","SOLY","SIAL 50%",7,0,-0.555542084180659
"28","SOLY","SIAL 50%",8,0,-0.555542084180659
"29","SOLY","SIAL 50%",9,24,0.216518966142205
"30","SOLY","SIAL 50%",10,0,-0.555542084180659
"41","SOLY","CAAN 50%",1,0,-0.555542084180659
"42","SOLY","CAAN 50%",2,0,-0.555542084180659
"43","SOLY","CAAN 50%",3,0,-0.555542084180659
"44","SOLY","CAAN 50%",4,0,-0.555542084180659
"45","SOLY","CAAN 50%",5,0,-0.555542084180659
"46","SOLY","CAAN 50%",6,0,-0.555542084180659
"47","SOLY","CAAN 50%",7,0,-0.555542084180659
"48","SOLY","CAAN 50%",8,0,-0.555542084180659
"49","SOLY","CAAN 50%",9,0,-0.555542084180659
"50","SOLY","CAAN 50%",10,0,-0.555542084180659
"61","SOLY","SOME 50%",1,36,0.602549491303638
"62","SOLY","SOME 50%",2,38,0.666887912163876
"63","SOLY","SOME 50%",3,0,-0.555542084180659
"64","SOLY","SOME 50%",4,5,-0.394696032030062
"65","SOLY","SOME 50%",5,64,1.50328738334698
"66","SOLY","SOME 50%",6,11,-0.201680769449346
"67","SOLY","SOME 50%",7,5,-0.394696032030062
"68","SOLY","SOME 50%",8,9,-0.266019190309585
"69","SOLY","SOME 50%",9,2,-0.49120366332042
"70","SOLY","SOME 50%",10,96,2.5327021171108
"81","SOLY","BROL 50%",1,64,1.50328738334698
"82","SOLY","BROL 50%",2,67,1.59979501463734
"83","SOLY","BROL 50%",3,75,1.85714869807829
"84","SOLY","BROL 50%",4,28,0.345195807862683
"85","SOLY","BROL 50%",5,73,1.79281027721805
"86","SOLY","BROL 50%",6,73,1.79281027721805
"87","SOLY","BROL 50%",7,72,1.76064106678793
"88","SOLY","BROL 50%",8,14,-0.105173138158988
"89","SOLY","BROL 50%",9,44,0.859903174744592
"90","SOLY","BROL 50%",10,41,0.763395543454234
"101","SOLY","PEIN 50%",1,61,1.40677975205662
"102","SOLY","PEIN 50%",2,49,1.02074922689519
"103","SOLY","PEIN 50%",3,69,1.66413343549758
"104","SOLY","PEIN 50%",4,5,-0.394696032030062
"105","SOLY","PEIN 50%",5,0,-0.555542084180659
"106","SOLY","PEIN 50%",6,31,0.441703439153041
"107","SOLY","PEIN 50%",7,20,0.0878421244217281
"108","SOLY","PEIN 50%",8,17,-0.00866550686862989
"109","SOLY","PEIN 50%",9,8,-0.298188400739704
"110","SOLY","PEIN 50%",10,0,-0.555542084180659
"131","SOLY","BRRA 50%",1,39,0.699057122593996
"132","SOLY","BRRA 50%",2,64,1.50328738334698
"133","SOLY","BRRA 50%",3,13,-0.137342348589107
"134","SOLY","BRRA 50%",4,5,-0.394696032030062
"135","SOLY","BRRA 50%",5,4,-0.426865242460181
"136","SOLY","BRRA 50%",6,13,-0.137342348589107
"137","SOLY","BRRA 50%",7,0,-0.555542084180659
"138","SOLY","BRRA 50%",8,0,-0.555542084180659
"139","SOLY","BRRA 50%",9,0,-0.555542084180659
"140","SOLY","BRRA 50%",10,0,-0.555542084180659
"161","SOLY","ERSA 50%",1,0,-0.555542084180659
"162","SOLY","ERSA 50%",2,0,-0.555542084180659
"163","SOLY","ERSA 50%",3,7,-0.330357611169823
"164","SOLY","ERSA 50%",4,34,0.538211070443399
"165","SOLY","ERSA 50%",5,16,-0.0408347172987492
"166","SOLY","ERSA 50%",6,22,0.152180545281967
"167","SOLY","ERSA 50%",7,12,-0.169511559019227
"168","SOLY","ERSA 50%",8,0,-0.555542084180659
"169","SOLY","ERSA 50%",9,0,-0.555542084180659
"170","SOLY","ERSA 50%",10,0,-0.555542084180659
"181","SOLY","IPAQ 50%",1,0,-0.555542084180659
"182","SOLY","IPAQ 50%",2,0,-0.555542084180659
"183","SOLY","IPAQ 50%",3,13,-0.137342348589107
"184","SOLY","IPAQ 50%",4,0,-0.555542084180659
"185","SOLY","IPAQ 50%",5,0,-0.555542084180659
"186","SOLY","IPAQ 50%",6,0,-0.555542084180659
"187","SOLY","IPAQ 50%",7,0,-0.555542084180659
"188","SOLY","IPAQ 50%",8,0,-0.555542084180659
"189","SOLY","IPAQ 50%",9,0,-0.555542084180659
"190","SOLY","IPAQ 50%",10,0,-0.555542084180659
"11","SOME","BROL 50%",1,363,0.570431687379859
"12","SOME","BROL 50%",2,250,0.204836715546268
"13","SOME","BROL 50%",3,459,0.881025645751759
"14","SOME","BROL 50%",4,404,0.703081190434524
"15","SOME","BROL 50%",5,132,-0.176935024952526
"16","SOME","BROL 50%",6,55,-0.426057262396654
"17","SOME","BROL 50%",7,451,0.855142815887434
"18","SOME","BROL 50%",8,319,0.428076123126071
"19","SOME","BROL 50%",9,439,0.816318571090946
"20","SOME","BROL 50%",10,554,1.18838425039062
"31","SOME","IPPU 50%",1,282,0.308368035003568
"32","SOME","IPPU 50%",2,275,0.285720558872284
"33","SOME","IPPU 50%",3,0,-0.604001717713888
"34","SOME","IPPU 50%",4,0,-0.604001717713888
"35","SOME","IPPU 50%",5,0,-0.604001717713888
"36","SOME","IPPU 50%",6,466,0.903673121883043
"37","SOME","IPPU 50%",7,469,0.913379183082165
"38","SOME","IPPU 50%",8,0,-0.604001717713888
"39","SOME","IPPU 50%",9,499,1.01043979507338
"40","SOME","IPPU 50%",10,722,1.73192367754144
"51","SOME","CAAN 50%",1,0,-0.604001717713888
"52","SOME","CAAN 50%",2,243,0.182189239414984
"53","SOME","CAAN 50%",3,0,-0.604001717713888
"54","SOME","CAAN 50%",4,323,0.441017538058234
"55","SOME","CAAN 50%",5,472,0.923085244281287
"56","SOME","CAAN 50%",6,337,0.486312490320802
"57","SOME","CAAN 50%",7,12,-0.565177472917401
"58","SOME","CAAN 50%",8,512,1.05249939360291
"59","SOME","CAAN 50%",9,355,0.544548857515534
"60","SOME","CAAN 50%",10,8,-0.578118887849563
"71","SOME","PEIN 50%",1,477,0.93926201294649
"72","SOME","PEIN 50%",2,608,1.36309335197481
"73","SOME","PEIN 50%",3,196,0.0301276139620743
