"","Species","Treatment","Treatment.number","Seed.production","Family","Scaled_seed_set"
"61","Petunia integrifolia","Capsicum annuum",1,298,"Solanaceae",1.97827454148156
"62","Petunia integrifolia","Capsicum annuum",2,234,"Solanaceae",1.39158382003017
"63","Petunia integrifolia","Capsicum annuum",3,341,"Solanaceae",2.37245736995671
"64","Petunia integrifolia","Capsicum annuum",4,274,"Solanaceae",1.75826552093729
"65","Petunia integrifolia","Capsicum annuum",5,244,"Solanaceae",1.48325424525695
"66","Petunia integrifolia","Capsicum annuum",6,196,"Solanaceae",1.04323620416841
"67","Petunia integrifolia","Capsicum annuum",7,182,"Solanaceae",0.914897608850917
"68","Petunia integrifolia","Capsicum annuum",8,199,"Solanaceae",1.07073733173644
"69","Petunia integrifolia","Capsicum annuum",9,196,"Solanaceae",1.04323620416841
"70","Petunia integrifolia","Capsicum annuum",10,134,"Solanaceae",0.474879567762375
"71","Petunia integrifolia","Petunia integrifolia",1,NA,"Solanaceae",NA
"72","Petunia integrifolia","Petunia integrifolia",2,NA,"Solanaceae",NA
"73","Petunia integrifolia","Petunia integrifolia",3,NA,"Solanaceae",NA
"74","Petunia integrifolia","Petunia integrifolia",4,NA,"Solanaceae",NA
"75","Petunia integrifolia","Petunia integrifolia",5,NA,"Solanaceae",NA
"76","Petunia integrifolia","Petunia integrifolia",6,NA,"Solanaceae",NA
"77","Petunia integrifolia","Petunia integrifolia",7,NA,"Solanaceae",NA
"78","Petunia integrifolia","Petunia integrifolia",8,NA,"Solanaceae",NA
"79","Petunia integrifolia","Petunia integrifolia",9,NA,"Solanaceae",NA
"80","Petunia integrifolia","Petunia integrifolia",10,NA,"Solanaceae",NA
"81","Petunia integrifolia","Solanum lycopersicum",1,0,"Solanaceae",-0.75350413027647
"82","Petunia integrifolia","Solanum lycopersicum",2,0,"Solanaceae",-0.75350413027647
"83","Petunia integrifolia","Solanum lycopersicum",3,0,"Solanaceae",-0.75350413027647
"84","Petunia integrifolia","Solanum lycopersicum",4,94,"Solanaceae",0.108197866855257
"85","Petunia integrifolia","Solanum lycopersicum",5,12,"Solanaceae",-0.643499620004335
"86","Petunia integrifolia","Solanum lycopersicum",6,0,"Solanaceae",-0.75350413027647
"87","Petunia integrifolia","Solanum lycopersicum",7,81,"Solanaceae",-0.0109736859395561
"88","Petunia integrifolia","Solanum lycopersicum",8,0,"Solanaceae",-0.75350413027647
"89","Petunia integrifolia","Solanum lycopersicum",9,241,"Solanaceae",1.45575311768892
"90","Petunia integrifolia","Solanum lycopersicum",10,184,"Solanaceae",0.933231693896273
"91","Petunia integrifolia","Solanum melongena",1,24,"Solanaceae",-0.533495109732199
"92","Petunia integrifolia","Solanum melongena",2,0,"Solanaceae",-0.75350413027647
"93","Petunia integrifolia","Solanum melongena",3,11,"Solanaceae",-0.652666662527013
"94","Petunia integrifolia","Solanum melongena",4,0,"Solanaceae",-0.75350413027647
"95","Petunia integrifolia","Solanum melongena",5,0,"Solanaceae",-0.75350413027647
"96","Petunia integrifolia","Solanum melongena",6,0,"Solanaceae",-0.75350413027647
"97","Petunia integrifolia","Solanum melongena",7,259,"Solanaceae",1.62075988309712
"98","Petunia integrifolia","Solanum melongena",8,17,"Solanaceae",-0.597664407390945
"99","Petunia integrifolia","Solanum melongena",9,250,"Solanaceae",1.53825650039302
"100","Petunia integrifolia","Solanum melongena",10,0,"Solanaceae",-0.75350413027647
"101","Petunia integrifolia","Cross",1,189,"other",0.979066906509663
"102","Petunia integrifolia","Cross",3,169,"other",0.795726056056104
"103","Petunia integrifolia","Cross",4,283,"other",1.84076890364139
"104","Petunia integrifolia","Cross",5,294,"other",1.94160637139085
"105","Petunia integrifolia","Cross",6,277,"other",1.78576664850532
"106","Petunia integrifolia","Cross",8,325,"other",2.22578468959387
"107","Petunia integrifolia","Cross",10,310,"other",2.0882790517537
"108","Petunia integrifolia","Cross",11,278,"other",1.794933691028
"109","Petunia integrifolia","Cross",12,0,"other",-0.75350413027647
"110","Petunia integrifolia","Cross",13,0,"other",-0.75350413027647
"111","Petunia integrifolia","Cross",14,362,"other",2.56496526293295
"112","Petunia integrifolia","Cross",15,321,"other",2.18911651950315
"113","Petunia integrifolia","Cross",16,231,"other",1.36408269246214
"114","Petunia integrifolia","Cross",17,0,"other",-0.75350413027647
"115","Petunia integrifolia","Cross",18,318,"other",2.16161539193512
"116","Petunia integrifolia","Cross",19,257,"other",1.60242579805176
"117","Petunia integrifolia","Cross",20,299,"other",1.98744158400424
"118","Petunia integrifolia","Self",1,107,"other",0.227369419650071
"119","Petunia integrifolia","Self",2,144,"other",0.566549992989155
"120","Petunia integrifolia","Self",3,10,"other",-0.661833705049691
"121","Petunia integrifolia","Self",4,0,"other",-0.75350413027647
"122","Petunia integrifolia","Self",5,54,"other",-0.258483834051861
"123","Petunia integrifolia","Self",6,13,"other",-0.634332577481657
"124","Petunia integrifolia","Self",7,32,"other",-0.460158769550776
"125","Petunia integrifolia","Self",8,74,"other",-0.0751429835983018
"126","Petunia integrifolia","Self",9,13,"other",-0.634332577481657
"127","Petunia integrifolia","Self",10,98,"other",0.144866036945969
"128","Petunia integrifolia","Control",1,0,"other",-0.75350413027647
"129","Petunia integrifolia","Control",2,0,"other",-0.75350413027647
"130","Petunia integrifolia","Control",3,0,"other",-0.75350413027647
"131","Petunia integrifolia","Control",4,0,"other",-0.75350413027647
"132","Petunia integrifolia","Control",5,0,"other",-0.75350413027647
"133","Petunia integrifolia","Control",6,0,"other",-0.75350413027647
"134","Petunia integrifolia","Control",7,0,"other",-0.75350413027647
"135","Petunia integrifolia","Control",8,0,"other",-0.75350413027647
"136","Petunia integrifolia","Control",9,0,"other",-0.75350413027647
"137","Petunia integrifolia","Control",10,0,"other",-0.75350413027647
"138","Petunia integrifolia","Flower control",1,0,"other",-0.75350413027647
"139","Petunia integrifolia","Flower control",2,0,"other",-0.75350413027647
"140","Petunia integrifolia","Flower control",3,0,"other",-0.75350413027647
"141","Petunia integrifolia","Flower control",4,0,"other",-0.75350413027647
"142","Petunia integrifolia","Flower control",5,0,"other",-0.75350413027647
"143","Petunia integrifolia","Flower control",6,0,"other",-0.75350413027647
"144","Petunia integrifolia","Flower control",7,0,"other",-0.75350413027647
"145","Petunia integrifolia","Flower control",8,0,"other",-0.75350413027647
"146","Petunia integrifolia","Flower control",9,0,"other",-0.75350413027647
"147","Petunia integrifolia","Flower control",10,0,"other",-0.75350413027647
"148","Solanum lycopersicum","Brassica oleracea",1,64,"Brassicaceae",0.963915239238818
"149","Solanum lycopersicum","Brassica oleracea",2,67,"Brassicaceae",1.04623628632099
"150","Solanum lycopersicum","Brassica oleracea",3,75,"Brassicaceae",1.26575907854013
"151","Solanum lycopersicum","Brassica oleracea",4,28,"Brassicaceae",-0.0239373257472995
"152","Solanum lycopersicum","Brassica oleracea",5,73,"Brassicaceae",1.21087838048535
"153","Solanum lycopersicum","Brassica oleracea",6,73,"Brassicaceae",1.21087838048535
"154","Solanum lycopersicum","Brassica oleracea",7,72,"Brassicaceae",1.18343803145796
"155","Solanum lycopersicum","Brassica oleracea",8,14,"Brassicaceae",-0.40810221213079
"156","Solanum lycopersicum","Brassica oleracea",9,44,"Brassicaceae",0.415108258690975
"157","Solanum lycopersicum","Brassica oleracea",10,41,"Brassicaceae",0.332787211608799
"158","Solanum lycopersicum","Brassica rapa",1,39,"Brassicaceae",0.277906513554014
"159","Solanum lycopersicum","Brassica rapa",2,64,"Brassicaceae",0.963915239238818
"160","Solanum lycopersicum","Brassica rapa",3,13,"Brassicaceae",-0.435542561158182
"161","Solanum lycopersicum","Brassica rapa",4,5,"Brassicaceae",-0.655065353377319
"162","Solanum lycopersicum","Brassica rapa",5,4,"Brassicaceae",-0.682505702404711
"163","Solanum lycopersicum","Brassica rapa",6,13,"Brassicaceae",-0.435542561158182
"164","Solanum lycopersicum","Brassica rapa",7,0,"Brassicaceae",-0.79226709851428
"165","Solanum lycopersicum","Brassica rapa",8,0,"Brassicaceae",-0.79226709851428
"166","Solanum lycopersicum","Brassica rapa",9,0,"Brassicaceae",-0.79226709851428
"167","Solanum lycopersicum","Brassica rapa",10,0,"Brassicaceae",-0.79226709851428
"168","Solanum lycopersicum","Eruca vesicaria",1,0,"Brassicaceae",-0.79226709851428
"169","Solanum lycopersicum","Eruca vesicaria",2,0,"Brassicaceae",-0.79226709851428
"170","Solanum lycopersicum","Eruca vesicaria",3,7,"Brassicaceae",-0.600184655322535
"171","Solanum lycopersicum","Eruca vesicaria",4,34,"Brassicaceae",0.140704768417053
"172","Solanum lycopersicum","Eruca vesicaria",5,16,"Brassicaceae",-0.353221514076005
"173","Solanum lycopersicum","Eruca vesicaria",6,22,"Brassicaceae",-0.188579419911652
"174","Solanum lycopersicum","Eruca vesicaria",7,12,"Brassicaceae",-0.462982910185574
"175","Solanum lycopersicum","Eruca vesicaria",8,0,"Brassicaceae",-0.79226709851428
"176","Solanum lycopersicum","Eruca vesicaria",9,0,"Brassicaceae",-0.79226709851428
"177","Solanum lycopersicum","Eruca vesicaria",10,0,"Brassicaceae",-0.79226709851428
"178","Solanum lycopersicum","Sinapis alba",1,0,"Brassicaceae",-0.79226709851428
"179","Solanum lycopersicum","Sinapis alba",2,1,"Brassicaceae",-0.764826749486888
"180","Solanum lycopersicum","Sinapis alba",3,3,"Brassicaceae",-0.709946051432103
"181","Solanum lycopersicum","Sinapis alba",4,3,"Brassicaceae",-0.709946051432103
"182","Solanum lycopersicum","Sinapis alba",5,0,"Brassicaceae",-0.79226709851428
"183","Solanum lycopersicum","Sinapis alba",6,0,"Brassicaceae",-0.79226709851428
"184","Solanum lycopersicum","Sinapis alba",7,0,"Brassicaceae",-0.79226709851428
"185","Solanum lycopersicum","Sinapis alba",8,0,"Brassicaceae",-0.79226709851428
"186","Solanum lycopersicum","Sinapis alba",9,24,"Brassicaceae",-0.133698721856868
"187","Solanum lycopersicum","Sinapis alba",10,0,"Brassicaceae",-0.79226709851428
"188","Solanum lycopersicum","Ipomoea aquatica",1,0,"Convolvulaceae",-0.79226709851428
"189","Solanum lycopersicum","Ipomoea aquatica",2,0,"Convolvulaceae",-0.79226709851428
"190","Solanum lycopersicum","Ipomoea aquatica",3,13,"Convolvulaceae",-0.435542561158182
"191","Solanum lycopersicum","Ipomoea aquatica",4,0,"Convolvulaceae",-0.79226709851428
"192","Solanum lycopersicum","Ipomoea aquatica",5,0,"Convolvulaceae",-0.79226709851428
"193","Solanum lycopersicum","Ipomoea aquatica",6,0,"Convolvulaceae",-0.79226709851428
"194","Solanum lycopersicum","Ipomoea aquatica",7,0,"Convolvulaceae",-0.79226709851428
"195","Solanum lycopersicum","Ipomoea aquatica",8,0,"Convolvulaceae",-0.79226709851428
"196","Solanum lycopersicum","Ipomoea aquatica",9,0,"Convolvulaceae",-0.79226709851428
"197","Solanum lycopersicum","Ipomoea aquatica",10,0,"Convolvulaceae",-0.79226709851428
"198","Solanum lycopersicum","Ipomoea purpurea",1,0,"Convolvulaceae",-0.79226709851428
"199","Solanum lycopersicum","Ipomoea purpurea",2,0,"Convolvulaceae",-0.79226709851428
"200","Solanum lycopersicum","Ipomoea purpurea",3,0,"Convolvulaceae",-0.79226709851428
"201","Solanum lycopersicum","Ipomoea purpurea",4,0,"Convolvulaceae",-0.79226709851428
"202","Solanum lycopersicum","Ipomoea purpurea",5,5,"Convolvulaceae",-0.655065353377319
"203","Solanum lycopersicum","Ipomoea purpurea",6,2,"Convolvulaceae",-0.737386400459496
"204","Solanum lycopersicum","Ipomoea purpurea",7,0,"Convolvulaceae",-0.79226709851428
"205","Solanum lycopersicum","Ipomoea purpurea",8,4,"Convolvulaceae",-0.682505702404711
"206","Solanum lycopersicum","Ipomoea purpurea",9,3,"Convolvulaceae",-0.709946051432103
"207","Solanum lycopersicum","Ipomoea purpurea",10,0,"Convolvulaceae",-0.79226709851428
"208","Solanum lycopersicum","Capsicum annuum",1,0,"Solanaceae",-0.79226709851428
"209","Solanum lycopersicum","Capsicum annuum",2,0,"Solanaceae",-0.79226709851428
"210","Solanum lycopersicum","Capsicum annuum",3,0,"Solanaceae",-0.79226709851428
"211","Solanum lycopersicum","Capsicum annuum",4,0,"Solanaceae",-0.79226709851428
"212","Solanum lycopersicum","Capsicum annuum",5,0,"Solanaceae",-0.79226709851428
"213","Solanum lycopersicum","Capsicum annuum",6,0,"Solanaceae",-0.79226709851428
"214","Solanum lycopersicum","Capsicum annuum",7,0,"Solanaceae",-0.79226709851428
"215","Solanum lycopersicum","Capsicum annuum",8,0,"Solanaceae",-0.79226709851428
"216","Solanum lycopersicum","Capsicum annuum",9,0,"Solanaceae",-0.79226709851428
"217","Solanum lycopersicum","Capsicum annuum",10,0,"Solanaceae",-0.79226709851428
"218","Solanum lycopersicum","Petunia integrifolia",1,61,"Solanaceae",0.881594192156642
"219","Solanum lycopersicum","Petunia integrifolia",2,49,"Solanaceae",0.552310003827936
"220","Solanum lycopersicum","Petunia integrifolia",3,69,"Solanaceae",1.10111698437578
"221","Solanum lycopersicum","Petunia integrifolia",4,5,"Solanaceae",-0.655065353377319
"222","Solanum lycopersicum","Petunia integrifolia",5,0,"Solanaceae",-0.79226709851428
"223","Solanum lycopersicum","Petunia integrifolia",6,31,"Solanaceae",0.058383721334877
"224","Solanum lycopersicum","Petunia integrifolia",7,20,"Solanaceae",-0.243460117966437
"225","Solanum lycopersicum","Petunia integrifolia",8,17,"Solanaceae",-0.325781165048613
"226","Solanum lycopersicum","Petunia integrifolia",9,8,"Solanaceae",-0.572744306295143
"227","Solanum lycopersicum","Petunia integrifolia",10,0,"Solanaceae",-0.79226709851428
"228","Solanum lycopersicum","Solanum lycopersicum",1,NA,"Solanaceae",NA
"229","Solanum lycopersicum","Solanum lycopersicum",2,NA,"Solanaceae",NA
"230","Solanum lycopersicum","Solanum lycopersicum",3,NA,"Solanaceae",NA
"231","Solanum lycopersicum","Solanum lycopersicum",4,NA,"Solanaceae",NA
"232","Solanum lycopersicum","Solanum lycopersicum",5,NA,"Solanaceae",NA
"233","Solanum lycopersicum","Solanum lycopersicum",6,NA,"Solanaceae",NA
"234","Solanum lycopersicum","Solanum lycopersicum",7,NA,"Solanaceae",NA
"235","Solanum lycopersicum","Solanum lycopersicum",8,NA,"Solanaceae",NA
"236","Solanum lycopersicum","Solanum lycopersicum",9,NA,"Solanaceae",NA
"237","Solanum lycopersicum","Solanum lycopersicum",10,NA,"Solanaceae",NA
"238","Solanum lycopersicum","Solanum melongena",1,36,"Solanaceae",0.195585466471838
"239","Solanum lycopersicum","Solanum melongena",2,38,"Solanaceae",0.250466164526622
"240","Solanum lycopersicum","Solanum melongena",3,0,"Solanaceae",-0.79226709851428
"241","Solanum lycopersicum","Solanum melongena",4,5,"Solanaceae",-0.655065353377319
"242","Solanum lycopersicum","Solanum melongena",5,64,"Solanaceae",0.963915239238818
"243","Solanum lycopersicum","Solanum melongena",6,11,"Solanaceae",-0.490423259212966
"244","Solanum lycopersicum","Solanum melongena",7,5,"Solanaceae",-0.655065353377319
"245","Solanum lycopersicum","Solanum melongena",8,9,"Solanaceae",-0.54530395726775
"246","Solanum lycopersicum","Solanum melongena",9,2,"Solanaceae",-0.737386400459496
"247","Solanum lycopersicum","Solanum melongena",10,96,"Solanaceae",1.84200640811537
"248","Solanum lycopersicum","Cross",1,107,"other",2.14385024741668
"249","Solanum lycopersicum","Cross",2,92,"other",1.7322450120058
"250","Solanum lycopersicum","Cross",3,92,"other",1.7322450120058
"251","Solanum lycopersicum","Cross",4,92,"other",1.7322450120058
"252","Solanum lycopersicum","Cross",5,96,"other",1.84200640811537
"253","Solanum lycopersicum","Cross",6,59,"other",0.826713494101857
"254","Solanum lycopersicum","Cross",7,71,"other",1.15599768243056
"255","Solanum lycopersicum","Cross",8,79,"other",1.3755204746497
"256","Solanum lycopersicum","Cross",9,66,"other",1.0187959372936
"257","Solanum lycopersicum","Cross",10,107,"other",2.14385024741668
"258","Solanum lycopersicum","Cross",11,93,"other",1.75968536103319
"259","Solanum lycopersicum","Cross",12,38,"other",0.250466164526622
"260","Solanum lycopersicum","Cross",13,121,"other",2.52801513380017
"261","Solanum lycopersicum","Cross",14,44,"other",0.415108258690975
"262","Solanum lycopersicum","Cross",15,90,"other",1.67736431395101
"263","Solanum lycopersicum","Cross",16,64,"other",0.963915239238818
"264","Solanum lycopersicum","Cross",17,53,"other",0.662071399937504
"265","Solanum lycopersicum","Cross",18,98,"other",1.89688710617015
"266","Solanum lycopersicum","Cross",19,108,"other",2.17129059644407
"267","Solanum lycopersicum","Cross",20,93,"other",1.75968536103319
"268","Solanum lycopersicum","Self",1,0,"other",-0.79226709851428
"269","Solanum lycopersicum","Self",2,6,"other",-0.627625004349927
"270","Solanum lycopersicum","Self",3,0,"other",-0.79226709851428
"271","Solanum lycopersicum","Self",4,81,"other",1.43040117270448
"272","Solanum lycopersicum","Self",5,4,"other",-0.682505702404711
"273","Solanum lycopersicum","Self",6,44,"other",0.415108258690975
"274","Solanum lycopersicum","Self",7,113,"other",2.30849234158103
"275","Solanum lycopersicum","Self",8,64,"other",0.963915239238818
"276","Solanum lycopersicum","Self",9,0,"other",-0.79226709851428
"277","Solanum lycopersicum","Self",10,88,"other",1.62248361589623
"278","Solanum lycopersicum","Control",1,0,"other",-0.79226709851428
"279","Solanum lycopersicum","Control",2,0,"other",-0.79226709851428
"280","Solanum lycopersicum","Control",3,0,"other",-0.79226709851428
"281","Solanum lycopersicum","Control",4,0,"other",-0.79226709851428
"282","Solanum lycopersicum","Control",5,0,"other",-0.79226709851428
"283","Solanum lycopersicum","Control",6,0,"other",-0.79226709851428
"284","Solanum lycopersicum","Control",7,0,"other",-0.79226709851428
"285","Solanum lycopersicum","Control",8,0,"other",-0.79226709851428
"286","Solanum lycopersicum","Control",9,0,"other",-0.79226709851428
"287","Solanum lycopersicum","Control",10,0,"other",-0.79226709851428
"288","Solanum lycopersicum","Control",11,0,"other",-0.79226709851428
"289","Solanum lycopersicum","Flower control",1,66,"other",1.0187959372936
"290","Solanum lycopersicum","Flower control",2,72,"other",1.18343803145796
"291","Solanum lycopersicum","Flower control",3,33,"other",0.113264419389661
"292","Solanum lycopersicum","Flower control",4,81,"other",1.43040117270448
"293","Solanum lycopersicum","Flower control",5,64,"other",0.963915239238818
"294","Solanum lycopersicum","Flower control",6,85,"other",1.54016256881405
"295","Solanum lycopersicum","Flower control",7,0,"other",-0.79226709851428
"296","Solanum lycopersicum","Flower control",8,84,"other",1.51272221978666
"297","Solanum lycopersicum","Flower control",9,53,"other",0.662071399937504
"298","Solanum lycopersicum","Flower control",10,106,"other",2.11640989838929
"299","Solanum melongena","Brassica oleracea",1,363,"Brassicaceae",0.108372376409283
"300","Solanum melongena","Brassica oleracea",1,250,"Brassicaceae",-0.212270163258867
"301","Solanum melongena","Brassica oleracea",1,459,"Brassicaceae",0.380776657897269
"302","Solanum melongena","Brassica oleracea",1,404,"Brassicaceae",0.224711704961444
"303","Solanum melongena","Brassica oleracea",1,132,"Brassicaceae",-0.547100425921184
"304","Solanum melongena","Brassica oleracea",1,55,"Brassicaceae",-0.765591360031339
"305","Solanum melongena","Brassica oleracea",1,451,"Brassicaceae",0.358076301106603
"306","Solanum melongena","Brassica oleracea",1,319,"Brassicaceae",-0.0164795859393774
"307","Solanum melongena","Brassica oleracea",1,439,"Brassicaceae",0.324025765920605
"308","Solanum melongena","Brassica oleracea",1,554,"Brassicaceae",0.650343394786422
"309","Solanum melongena","Brassica rapa",0,0,"Brassicaceae",-0.921656312967164
"310","Solanum melongena","Brassica rapa",1,200,"Brassicaceae",-0.354147393200527
"311","Solanum melongena","Brassica rapa",1,169,"Brassicaceae",-0.442111275764356
"312","Solanum melongena","Brassica rapa",0,0,"Brassicaceae",-0.921656312967164
"313","Solanum melongena","Brassica rapa",0,0,"Brassicaceae",-0.921656312967164
"314","Solanum melongena","Brassica rapa",1,184,"Brassicaceae",-0.399548106781858
"315","Solanum melongena","Brassica rapa",0,0,"Brassicaceae",-0.921656312967164
"316","Solanum melongena","Brassica rapa",1,83,"Brassicaceae",-0.68614011126401
"317","Solanum melongena","Brassica rapa",0,0,"Brassicaceae",-0.921656312967164
"318","Solanum melongena","Brassica rapa",0,0,"Brassicaceae",-0.921656312967164
"319","Solanum melongena","Eruca vesicaria",1,583,"Brassicaceae",0.732632188152584
"320","Solanum melongena","Eruca vesicaria",0,0,"Brassicaceae",-0.921656312967164
"321","Solanum melongena","Eruca vesicaria",0,0,"Brassicaceae",-0.921656312967164
"322","Solanum melongena","Eruca vesicaria",0,0,"Brassicaceae",-0.921656312967164
"323","Solanum melongena","Eruca vesicaria",0,0,"Brassicaceae",-0.921656312967164
"324","Solanum melongena","Eruca vesicaria",1,787,"Brassicaceae",1.31149128631455
"325","Solanum melongena","Eruca vesicaria",1,385,"Brassicaceae",0.170798357583613
"326","Solanum melongena","Eruca vesicaria",1,0,"Brassicaceae",-0.921656312967164
"327","Solanum melongena","Eruca vesicaria",1,520,"Brassicaceae",0.553866878426093
"328","Solanum melongena","Eruca vesicaria",1,1068,"Brassicaceae",2.10884131858668
"329","Solanum melongena","Sinapis alba",1,227,"Brassicaceae",-0.277533689032031
"330","Solanum melongena","Sinapis alba",1,43,"Brassicaceae",-0.799641895217337
"331","Solanum melongena","Sinapis alba",1,38,"Brassicaceae",-0.813829618211503
"332","Solanum melongena","Sinapis alba",1,28,"Brassicaceae",-0.842205064199835
"333","Solanum melongena","Sinapis alba",1,30,"Brassicaceae",-0.836529975002169
"334","Solanum melongena","Sinapis alba",1,459,"Brassicaceae",0.380776657897269
"335","Solanum melongena","Sinapis alba",1,1048,"Brassicaceae",2.05209042661002
"336","Solanum melongena","Sinapis alba",1,565,"Brassicaceae",0.681556385373587
"337","Solanum melongena","Sinapis alba",1,655,"Brassicaceae",0.936935399268574
"338","Solanum melongena","Sinapis alba",1,860,"Brassicaceae",1.51863204202938
"339","Solanum melongena","Ipomoea aquatica",0,0,"Convolvulaceae",-0.921656312967164
"340","Solanum melongena","Ipomoea aquatica",0,0,"Convolvulaceae",-0.921656312967164
"341","Solanum melongena","Ipomoea aquatica",0,0,"Convolvulaceae",-0.921656312967164
"342","Solanum melongena","Ipomoea aquatica",0,0,"Convolvulaceae",-0.921656312967164
"343","Solanum melongena","Ipomoea aquatica",0,0,"Convolvulaceae",-0.921656312967164
