"","Species","Treatment","Treatment.number","Seed.production","Family","Scaled_seed_set"
"1","Petunia integrifolia","Brassica oleracea",1,73,"Brassicaceae",-0.0843100261209798
"2","Petunia integrifolia","Brassica oleracea",2,0,"Brassicaceae",-0.75350413027647
"3","Petunia integrifolia","Brassica oleracea",3,0,"Brassicaceae",-0.75350413027647
"4","Petunia integrifolia","Brassica oleracea",4,0,"Brassicaceae",-0.75350413027647
"5","Petunia integrifolia","Brassica oleracea",5,86,"Brassicaceae",0.0348615266738337
"6","Petunia integrifolia","Brassica oleracea",6,330,"Brassicaceae",2.27161990220725
"7","Petunia integrifolia","Brassica oleracea",7,109,"Brassicaceae",0.245703504695427
"8","Petunia integrifolia","Brassica oleracea",8,81,"Brassicaceae",-0.0109736859395561
"9","Petunia integrifolia","Brassica oleracea",9,62,"Brassicaceae",-0.185147493870437
"10","Petunia integrifolia","Brassica oleracea",10,0,"Brassicaceae",-0.75350413027647
"11","Petunia integrifolia","Brassica rapa",1,85,"Brassicaceae",0.0256944841511557
"12","Petunia integrifolia","Brassica rapa",2,163,"Brassicaceae",0.740723800920036
"13","Petunia integrifolia","Brassica rapa",3,0,"Brassicaceae",-0.75350413027647
"14","Petunia integrifolia","Brassica rapa",4,79,"Brassicaceae",-0.029307770984912
"15","Petunia integrifolia","Brassica rapa",5,85,"Brassicaceae",0.0256944841511557
"16","Petunia integrifolia","Brassica rapa",6,217,"Brassicaceae",1.23574409714465
"17","Petunia integrifolia","Brassica rapa",7,255,"Brassicaceae",1.58409171300641
"18","Petunia integrifolia","Brassica rapa",8,0,"Brassicaceae",-0.75350413027647
"19","Petunia integrifolia","Brassica rapa",9,33,"Brassicaceae",-0.450991727028098
"20","Petunia integrifolia","Brassica rapa",10,42,"Brassicaceae",-0.368488344323996
"21","Petunia integrifolia","Eruca vesicaria",1,38,"Brassicaceae",-0.405156514414708
"22","Petunia integrifolia","Eruca vesicaria",2,155,"Brassicaceae",0.667387460738613
"23","Petunia integrifolia","Eruca vesicaria",3,128,"Brassicaceae",0.419877312626308
"24","Petunia integrifolia","Eruca vesicaria",4,111,"Brassicaceae",0.264037589740783
"25","Petunia integrifolia","Eruca vesicaria",5,167,"Brassicaceae",0.777391971010748
"26","Petunia integrifolia","Eruca vesicaria",6,0,"Brassicaceae",-0.75350413027647
"27","Petunia integrifolia","Eruca vesicaria",7,0,"Brassicaceae",-0.75350413027647
"28","Petunia integrifolia","Eruca vesicaria",8,78,"Brassicaceae",-0.03847481350759
"29","Petunia integrifolia","Eruca vesicaria",9,59,"Brassicaceae",-0.212648621438471
"30","Petunia integrifolia","Eruca vesicaria",10,193,"Brassicaceae",1.01573507660037
"31","Petunia integrifolia","Sinapis alba",1,21,"Brassicaceae",-0.560996237300233
"32","Petunia integrifolia","Sinapis alba",2,0,"Brassicaceae",-0.75350413027647
"33","Petunia integrifolia","Sinapis alba",3,61,"Brassicaceae",-0.194314536393115
"34","Petunia integrifolia","Sinapis alba",4,17,"Brassicaceae",-0.597664407390945
"35","Petunia integrifolia","Sinapis alba",5,20,"Brassicaceae",-0.570163279822911
"36","Petunia integrifolia","Sinapis alba",6,0,"Brassicaceae",-0.75350413027647
"37","Petunia integrifolia","Sinapis alba",7,0,"Brassicaceae",-0.75350413027647
"38","Petunia integrifolia","Sinapis alba",8,0,"Brassicaceae",-0.75350413027647
"39","Petunia integrifolia","Sinapis alba",9,23,"Brassicaceae",-0.542662152254877
"40","Petunia integrifolia","Sinapis alba",10,0,"Brassicaceae",-0.75350413027647
"41","Petunia integrifolia","Ipomoea aquatica",1,0,"Convolvulaceae",-0.75350413027647
"42","Petunia integrifolia","Ipomoea aquatica",2,37,"Convolvulaceae",-0.414323556937386
"43","Petunia integrifolia","Ipomoea aquatica",3,0,"Convolvulaceae",-0.75350413027647
"44","Petunia integrifolia","Ipomoea aquatica",4,0,"Convolvulaceae",-0.75350413027647
"45","Petunia integrifolia","Ipomoea aquatica",5,0,"Convolvulaceae",-0.75350413027647
"46","Petunia integrifolia","Ipomoea aquatica",6,0,"Convolvulaceae",-0.75350413027647
"47","Petunia integrifolia","Ipomoea aquatica",7,0,"Convolvulaceae",-0.75350413027647
"48","Petunia integrifolia","Ipomoea aquatica",8,0,"Convolvulaceae",-0.75350413027647
"49","Petunia integrifolia","Ipomoea aquatica",9,299,"Convolvulaceae",1.98744158400424
"50","Petunia integrifolia","Ipomoea aquatica",10,164,"Convolvulaceae",0.749890843442714
"51","Petunia integrifolia","Ipomoea purpurea",1,0,"Convolvulaceae",-0.75350413027647
"52","Petunia integrifolia","Ipomoea purpurea",2,0,"Convolvulaceae",-0.75350413027647
"53","Petunia integrifolia","Ipomoea purpurea",3,0,"Convolvulaceae",-0.75350413027647
"54","Petunia integrifolia","Ipomoea purpurea",4,0,"Convolvulaceae",-0.75350413027647
"55","Petunia integrifolia","Ipomoea purpurea",5,0,"Convolvulaceae",-0.75350413027647
"56","Petunia integrifolia","Ipomoea purpurea",6,0,"Convolvulaceae",-0.75350413027647
"57","Petunia integrifolia","Ipomoea purpurea",7,0,"Convolvulaceae",-0.75350413027647
"58","Petunia integrifolia","Ipomoea purpurea",8,0,"Convolvulaceae",-0.75350413027647
"59","Petunia integrifolia","Ipomoea purpurea",9,61,"Convolvulaceae",-0.194314536393115
"60","Petunia integrifolia","Ipomoea purpurea",10,0,"Convolvulaceae",-0.75350413027647
