"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",1.33637082746477,0.30886117176912,108,4.32676862491391,3.38965648941298e-05
"relevel(Treatment, ref = ""Cross"")Brassica oleracea",-1.33637082746477,0.42211834609599,108,-3.16586767626746,0.00200974266877685
"relevel(Treatment, ref = ""Cross"")Brassica rapa",0.657253185502989,0.42211834609599,108,1.557035347034,0.122387727280903
"relevel(Treatment, ref = ""Cross"")Capsicum annuum",-0.27283337132357,0.42211834609599,108,-0.646343315439618,0.519428183454264
"relevel(Treatment, ref = ""Cross"")Control",-1.33637082746477,0.42211834609599,108,-3.16586767626746,0.00200974266877685
"relevel(Treatment, ref = ""Cross"")Flower Control",-1.33637082746477,0.42211834609599,108,-3.16586767626746,0.00200974266877685
"relevel(Treatment, ref = ""Cross"")Ipomoea aquatica",0.869593913253952,0.422118346095989,108,2.06007135509862,0.041795444046759
"relevel(Treatment, ref = ""Cross"")Ipomoea purpurea",-0.194817515568616,0.42211834609599,108,-0.461523450402969,0.645351324083798
"relevel(Treatment, ref = ""Cross"")Petunia integrifolia",0.204958857853017,0.422118346095989,108,0.485548329629837,0.628271016432758
"relevel(Treatment, ref = ""Cross"")Self",-1.26705610940878,0.422118346095989,108,-3.00166084020582,0.00333568787425535
"relevel(Treatment, ref = ""Cross"")Sinapis alba",0.32392934110584,0.422118346095989,108,0.767389866140001,0.444524185813138
"relevel(Treatment, ref = ""Cross"")Solanum lycopersicum",-0.518506948605702,0.422118346095989,108,-1.22834497339709,0.221987591071111
"relevel(Treatment, ref = ""Cross"")Solanum melongena",0.540996396567207,0.422118346095989,108,1.28162256289184,0.202719787964852
