"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",1.99337258107109,0.196920056051329,118,10.1227504249313,1.02515703895123e-17
"relevel(Treatment, ref = ""Cross"")Brassica rapa",-1.36570823213693,0.278487013727109,118,-4.90402842796538,3.03102979033437e-06
"relevel(Treatment, ref = ""Cross"")Capsicum annuum",-0.866129353539005,0.278487013727109,118,-3.11012474853757,0.0023449697032635
"relevel(Treatment, ref = ""Cross"")Control",-1.99337258107109,0.278487013727109,118,-7.15786547599813,7.52796005599765e-11
"relevel(Treatment, ref = ""Cross"")Eruca vesicaria",-1.9240578630151,0.278487013727109,118,-6.9089679883619,2.6461576452903e-10
"relevel(Treatment, ref = ""Cross"")FC",-1.99337258107108,0.278487013727108,118,-7.15786547599812,7.52796005599792e-11
"relevel(Treatment, ref = ""Cross"")Ipomoea aquatica",-1.91290068544939,0.241176828511742,118,-7.93152765650641,1.37649962714782e-12
"relevel(Treatment, ref = ""Cross"")Ipomoea purpurea",-1.99337258107109,0.278487013727109,118,-7.15786547599813,7.52796005599749e-11
"relevel(Treatment, ref = ""Cross"")Petunia integrifolia",-1.63502068722548,0.278487013727109,118,-5.87108413187139,4.06959522694886e-08
"relevel(Treatment, ref = ""Cross"")Self",-1.99337258107109,0.278487013727109,118,-7.15786547599813,7.52796005599749e-11
"relevel(Treatment, ref = ""Cross"")Sinapis alba",-1.56570596916948,0.278487013727109,118,-5.62218664423516,1.28404750245431e-07
"relevel(Treatment, ref = ""Cross"")Solanum lycopersicum",-1.47407689598207,0.278487013727109,118,-5.29316206258194,5.63110979196962e-07
"relevel(Treatment, ref = ""Cross"")Solanum melongena",-1.6062524799803,0.278487013727109,118,-5.76778234102606,6.57663494169033e-08
