"","X","focal","non_focal","ratio","variable","spp"
"1",6,"Capsicum","Morning glory",258,"focal_pollen","Capsicum-Morning glory"
"5",13,"Eggplant","Water morning glory",64,"focal_pollen","Eggplant-Water morning glory"
"6",14,"Petunia","Water morning glory",23,"focal_pollen","Petunia-Water morning glory"
"7",15,"Tomato","Water morning glory",56,"focal_pollen","Tomato-Water morning glory"
"16",63,"Eggplant","Rocket",1837,"focal_pollen","Eggplant-Rocket"
"17",74,"Petunia","Wild cabbage",332,"focal_pollen","Petunia-Wild cabbage"
"19",86,"Capsicum","White mustard",304,"focal_pollen","Capsicum-White mustard"
"20",95,"Tomato","Pak choi",164,"focal_pollen","Tomato-Pak choi"
"21",62,"Capsicum","Morning glory",11,"non_focal_pollen","Capsicum-Morning glory"
"25",131,"Eggplant","Water morning glory",26,"non_focal_pollen","Eggplant-Water morning glory"
"26",141,"Petunia","Water morning glory",20,"non_focal_pollen","Petunia-Water morning glory"
"27",151,"Tomato","Water morning glory",10,"non_focal_pollen","Tomato-Water morning glory"
"36",631,"Eggplant","Rocket",2231,"non_focal_pollen","Eggplant-Rocket"
"37",741,"Petunia","Wild cabbage",376,"non_focal_pollen","Petunia-Wild cabbage"
"39",861,"Capsicum","White mustard",450,"non_focal_pollen","Capsicum-White mustard"
"40",951,"Tomato","Pak choi",208,"non_focal_pollen","Tomato-Pak choi"
