"family" "genus" "species" "varieties" "stigma_type" "self_incompatibility_system" "self_incompatibility_system_ref" "pollen_size" "mean_pollen_anther" "sd_pollen_anther" "mean_ovules" "sd_ovules" "pollen_ovule_ratio" "anthers"
"1" "Solanaceae" "Petunia" "Petunia integrifolia" "" "wet" "Gametophytic self-incompatibility" "(Sims & Robins, 2009); DOI: 10.1007/978-0-387-84796-2 5" 24.74 "34657" "12663.52" "220" "43.75" 787.66 "5"
"2" "Solanaceae" "Capsicum" "Capsicum annuum" "California Wonder" "wet" "Self-compatible" "(Onus & Pickersgill, 2004)" 32.46 "30761" " 5932.50" "241" "84.06" 765.83 "6"
"3" "Solanaceae" "Solanum" "Solanum lycopersicum" "Tommy Toe" "wet" "Self-compatible" "(Whalen & Anderson, 1981); DOI: 10.2307/1220077" 22 "28915" " 9260.36" "92" "30.21" 1885.76 "6"
"4" "Solanaceae" "Solanum" "Solanum melongena" "Little fingers" "wet" "Self-compatible" "(Whalen & Anderson, 1981); DOI: 10.2307/1220077" 25.18 "166989" "34807.80" "1010" "295.49" 992.01 "6"
"5" "Brassicaceae" "Brassica" "Brassica oleracea" "Capitata" "dry" "Sporophytic self-incompatibility" "(Kitashiba & Nasrallah, 2014); DOI:10.1270/jsbbs.64.23" 27.72 "42033" "11889.94" "29" "4.45" 8696.48 "6"
"6" "Brassicaceae" "Brassica" "Brassica rapa" "Chinensis" "dry" "Sporophytic self-incompatibility" "(Kitashiba & Nasrallah, 2014); DOI:10.1270/jsbbs.64.23" 25.35 "7133" " 2398.67" "26" "2.97" 1646.08 "6"
"7" "Brassicaceae" "Eruca" "Eruca versicaria" "" "dry" "Sporophytic self-incompatibility" "(Verma et al., 1977); DOI:10.1098/rspb.1977.0034" 24.95 "22151" " 6866.37" "24" "3.53" 5537.75 "6"
"8" "Brassicaceae" "Sinapis" "Sinapis alba" "" "dry" "Sporophytic self-(in)compatibility" "(Zeng & Cheng, 2014); DOI: 10.1007/s11032-013-9943-8" 33.59 "3507" " 1142.50" "6" "1.84" 3507 "6"
"9" "Convolvulaceae" "Ipomoea" "Ipomoea aquatica" "" "dry" "Self-compatible" "(Les, 2017); DOI: 10.1201/9781315118116" 70.1 "858" "  210.92" "4" NA 1072.5 "5"
"10" "Convolvulaceae" "Ipomoea" "Ipomoea purpurea" "" "dry" "Self-compatible" "(Smith & Rausher, 2006); DOI: 10.1111/j.1469-8137.2006.01933.x" 97.59 "654" "  348.87" "6" NA 545 "5"
