"","BROL ","BRRA ","CAAN ","ERSA ","IPAQ ","IPPU ","PEIN ","SIAL ","SOLY ","SOME "
"BROL",0,0.925220354317633,0.988227913291279,2.06728697117245,2.53602213910017,2.09263924473652,1.76264577556124,1.91727961041003,1.82342696049025,1.90583989247661
"BRRA",0.511660875804697,0,1.15210267258015,2.16547777436117,1.63249062649969,2.12173259190867,2.16547777436117,2.16547777436117,1.56105975102784,2.16547777436117
"CAAN",2.01850294750278,2.13281298500683,0,1.17813542810874,1.97639233038402,2.38165424350128,2.40754517422986,1.75191064479544,1.94116872063527,2.29072237513932
"ERSA",1.2747907691209,0,0.322296587445677,0,0,0.194174000971763,0,0,0.333542581584901,0
"IPAQ",1.5156463839182,1.5156463839182,1.5156463839182,1.5156463839182,0,1.5156463839182,0.941891040003915,1.5156463839182,1.21284000016069,1.5156463839182
"IPPU",0,0.56537876524051,1.12733761012944,1.05790184204427,0,0,0.292596382400936,0.453948909946788,1.12733761012944,0.166407394410641
"PEIN",1.08453359828957,0.928044727956939,0,0.990517724604721,1.27632201920402,1.85663602639248,0,1.78147490174056,1.22012268570543,1.21671112133414
"SIAL",0.613230353895721,1.19316947209848,0,0.592507095741968,0.849494415407582,0.849494415407582,0,0,0,0
"SOLY",1.21073507456153,3.01435987876257,4.29418284328309,3.60252088827235,4.19506703265896,4.21459388659859,2.34077637112127,4.03407459518266,0,2.10276424806333
"SOME",1.33947001729577,3.1100184892152,1.72713580274306,0.827547047618371,1.33437789791701,1.33437789791701,0.562283128075666,0.665172591949446,0.715990094494379,0
