species;treatment;treatment number;fruit_set;seed_set
CAAN;Cross;1;0;0
CAAN;Cross;2;1;361
CAAN;Cross;3;1;247
CAAN;Cross;4;1;314
CAAN;Cross;5;1;321
CAAN;Cross;6;1;366
CAAN;Cross;7;1;244
CAAN;Cross;8;1;388
CAAN;Cross;9;1;268
CAAN;Cross;10;0;0
CAAN;Flower control;1;0;0
CAAN;Flower control;2;0;0
CAAN;Flower control;3;1;341
CAAN;Flower control;4;0;0
CAAN;Flower control;5;0;0
CAAN;Flower control;6;1;225
CAAN;Flower control;7;0;0
CAAN;Flower control;8;1;0
CAAN;Flower control;9;0;0
CAAN;Flower control;10;0;0
CAAN;Control;1;0;0
CAAN;Control;2;0;0
CAAN;Control;3;0;0
CAAN;Control;4;0;0
CAAN;Control;5;0;0
CAAN;Control;6;0;0
CAAN;Control;7;0;0
CAAN;Control;8;0;0
CAAN;Control;9;0;0
CAAN;Control;10;0;0
CAAN;Self;1;1;176
CAAN;Self;2;1;101
CAAN;Self;3;1;358
CAAN;Self;4;1;9
CAAN;Self;5;1;0
CAAN;Self;6;0;0
CAAN;Self;7;1;170
CAAN;Self;8;1;319
CAAN;Self;9;1;182
CAAN;Self;10;1;281
CAAN;PEIN 100%;1;0;0
CAAN;PEIN 100%;2;0;0
CAAN;PEIN 100%;3;0;0
CAAN;PEIN 100%;4;0;0
CAAN;PEIN 100%;5;0;0
CAAN;PEIN 100%;6;0;0
CAAN;PEIN 100%;7;0;0
CAAN;PEIN 100%;8;0;0
CAAN;PEIN 100%;9;0;0
CAAN;PEIN 100%;10;0;0
CAAN;PEIN 50%;1;0;0
CAAN;PEIN 50%;2;0;0
CAAN;PEIN 50%;3;0;0
CAAN;PEIN 50%;4;0;0
CAAN;PEIN 50%;5;0;0
CAAN;PEIN 50%;6;0;0
CAAN;PEIN 50%;7;0;0
CAAN;PEIN 50%;8;0;0
CAAN;PEIN 50%;9;0;0
CAAN;PEIN 50%;10;0;0
CAAN;SOLY 100%;1;0;0
CAAN;SOLY 100%;2;0;0
CAAN;SOLY 100%;3;0;0
CAAN;SOLY 100%;4;0;0
CAAN;SOLY 100%;5;0;0
CAAN;SOLY 100%;6;0;0
CAAN;SOLY 100%;7;0;0
CAAN;SOLY 100%;8;0;0
CAAN;SOLY 100%;9;0;0
CAAN;SOLY 100%;10;0;0
CAAN;SOLY 50%;1;0;0
CAAN;SOLY 50%;2;1;44
CAAN;SOLY 50%;3;1;55
CAAN;SOLY 50%;4;1;101
CAAN;SOLY 50%;5;1;69
CAAN;SOLY 50%;6;1;57
CAAN;SOLY 50%;7;0;0
CAAN;SOLY 50%;8;1;70
CAAN;SOLY 50%;9;1;21
CAAN;SOLY 50%;10;1;12
CAAN;BROL 50%;1;1;0
CAAN;BROL 50%;2;1;53
CAAN;BROL 50%;3;1;28
CAAN;BROL 50%;4;1;39
CAAN;BROL 50%;5;1;7
CAAN;BROL 50%;6;1;26
CAAN;BROL 50%;7;1;15
CAAN;BROL 50%;8;1;121
CAAN;BROL 50%;9;1;49
CAAN;BROL 50%;10;0;0
CAAN;BROL 100%;1;0;0
CAAN;BROL 100%;2;0;0
CAAN;BROL 100%;3;0;0
CAAN;BROL 100%;4;0;0
CAAN;BROL 100%;5;0;0
CAAN;BROL 100%;6;0;0
CAAN;BROL 100%;7;0;0
CAAN;BROL 100%;8;0;0
CAAN;BROL 100%;9;0;0
CAAN;BROL 100%;10;0;0
CAAN;SOME 50%;1;1;33
CAAN;SOME 50%;2;0;0
CAAN;SOME 50%;3;1;15
CAAN;SOME 50%;4;0;0
CAAN;SOME 50%;5;1;17
CAAN;SOME 50%;6;1;42
CAAN;SOME 50%;7;0;0
CAAN;SOME 50%;8;0;0
CAAN;SOME 50%;9;0;0
CAAN;SOME 50%;10;0;0
CAAN;SOME 100%;1;1;0
CAAN;SOME 100%;2;0;0
CAAN;SOME 100%;3;1;0
CAAN;SOME 100%;4;1;0
CAAN;SOME 100%;5;0;0
CAAN;SOME 100%;6;0;0
CAAN;SOME 100%;7;0;0
CAAN;SOME 100%;8;0;0
CAAN;SOME 100%;9;0;0
CAAN;SOME 100%;10;0;0
CAAN;BRRA 50%;1;0;0
CAAN;BRRA 50%;2;1;58
CAAN;BRRA 50%;3;1;93
CAAN;BRRA 50%;4;1;13
CAAN;BRRA 50%;5;0;0
CAAN;BRRA 50%;6;0;0
CAAN;BRRA 50%;7;1;19
