Species;Treatment;Treatment number;Seed production
PEIN;Flower Control;1;0
PEIN;Flower Control;2;0
PEIN;Flower Control;3;0
PEIN;Flower Control;4;0
PEIN;Flower Control;5;0
PEIN;Flower Control;6;0
PEIN;Flower Control;7;0
PEIN;Flower Control;8;0
PEIN;Flower Control;9;0
PEIN;Flower Control;10;0
PEIN;Control;1;0
PEIN;Control;2;0
PEIN;Control;3;0
PEIN;Control;4;0
PEIN;Control;5;0
PEIN;Control;6;0
PEIN;Control;7;0
PEIN;Control;8;0
PEIN;Control;9;0
PEIN;Control;10;0
PEIN;CAAN 50%;1;298
PEIN;CAAN 50%;2;234
PEIN;CAAN 50%;3;341
PEIN;CAAN 50%;4;274
PEIN;CAAN 50%;5;244
PEIN;CAAN 50%;6;196
PEIN;CAAN 50%;7;182
PEIN;CAAN 50%;8;199
PEIN;CAAN 50%;9;196
PEIN;CAAN 50%;10;134
PEIN;CAAN 100%;1;0
PEIN;CAAN 100%;2;0
PEIN;CAAN 100%;3;0
PEIN;CAAN 100%;4;0
PEIN;CAAN 100%;5;0
PEIN;CAAN 100%;6;0
PEIN;CAAN 100%;7;0
PEIN;CAAN 100%;8;0
PEIN;CAAN 100%;9;0
PEIN;CAAN 100%;10;0
PEIN;CROSS;1;189
PEIN;CROSS;2;26
PEIN;CROSS;3;169
PEIN;CROSS;4;283
PEIN;CROSS;5;294
PEIN;CROSS;6;277
PEIN;CROSS;7;154
PEIN;CROSS;8;325
PEIN;CROSS;9;33
PEIN;CROSS;10;310
PEIN;CROSS;11;278
PEIN;CROSS;12;0
PEIN;CROSS;13;0
PEIN;CROSS;14;362
PEIN;CROSS;15;321
PEIN;CROSS;16;231
PEIN;CROSS;17;0
PEIN;CROSS;18;318
PEIN;CROSS;19;257
PEIN;CROSS;20;299
PEIN;SELF;1;107
PEIN;SELF;2;144
PEIN;SELF;3;10
PEIN;SELF;4;0
PEIN;SELF;5;54
PEIN;SELF;6;13
PEIN;SELF;7;32
PEIN;SELF;8;74
PEIN;SELF;9;13
PEIN;SELF;10;98
PEIN;SIAL 50%;1;21
PEIN;SIAL 50%;2;0
PEIN;SIAL 50%;3;61
PEIN;SIAL 50%;4;17
PEIN;SIAL 50%;5;20
PEIN;SIAL 50%;6;0
PEIN;SIAL 50%;7;0
PEIN;SIAL 50%;8;0
PEIN;SIAL 50%;9;23
PEIN;SIAL 50%;10;0
PEIN;SIAL 100%;1;0
PEIN;SIAL 100%;2;0
PEIN;SIAL 100%;3;0
PEIN;SIAL 100%;4;0
PEIN;SIAL 100%;5;0
PEIN;SIAL 100%;6;0
PEIN;SIAL 100%;7;0
PEIN;SIAL 100%;8;0
PEIN;SIAL 100%;9;0
PEIN;SIAL 100%;10;0
PEIN;SOLY 50%;1;0
PEIN;SOLY 50%;2;0
PEIN;SOLY 50%;3;0
PEIN;SOLY 50%;4;94
PEIN;SOLY 50%;5;12
PEIN;SOLY 50%;6;0
PEIN;SOLY 50%;7;81
PEIN;SOLY 50%;8;0
PEIN;SOLY 50%;9;241
PEIN;SOLY 50%;10;184
PEIN;SOLY 100%;1;0
PEIN;SOLY 100%;2;0
PEIN;SOLY 100%;3;0
PEIN;SOLY 100%;4;0
PEIN;SOLY 100%;5;0
PEIN;SOLY 100%;6;0
PEIN;SOLY 100%;7;0
PEIN;SOLY 100%;8;0
PEIN;SOLY 100%;9;0
PEIN;SOLY 100%;10;0
PEIN;IPPU 50 %;1;0
PEIN;IPPU 50 %;2;0
PEIN;IPPU 50 %;3;0
PEIN;IPPU 50 %;4;0
PEIN;IPPU 50 %;5;0
PEIN;IPPU 50 %;6;0
PEIN;IPPU 50 %;7;0
PEIN;IPPU 50 %;8;0
PEIN;IPPU 50 %;9;61
PEIN;IPPU 50 %;10;0
PEIN;IPPU 100%;1;0
PEIN;IPPU 100%;2;0
PEIN;IPPU 100%;3;0
PEIN;IPPU 100%;4;0
PEIN;IPPU 100%;5;0
PEIN;IPPU 100%;6;0
PEIN;IPPU 100%;7;0
PEIN;IPPU 100%;8;0
PEIN;IPPU 100%;9;0
PEIN;IPPU 100%;10;0
PEIN;BROL 50%;1;73
PEIN;BROL 50%;2;0
PEIN;BROL 50%;3;0
PEIN;BROL 50%;4;0
PEIN;BROL 50%;5;86
PEIN;BROL 50%;6;330
PEIN;BROL 50%;7;109
PEIN;BROL 50%;8;81
PEIN;BROL 50%;9;62
PEIN;BROL 50%;10;0
PEIN;BROL 100%;1;0
PEIN;BROL 100%;2;0
PEIN;BROL 100%;3;0
PEIN;BROL 100%;4;0
PEIN;BROL 100%;5;0
PEIN;BROL 100%;6;0
PEIN;BROL 100%;7;0
PEIN;BROL 100%;8;0
PEIN;BROL 100%;9;0
PEIN;BROL 100%;10;0
PEIN;SOME 50%;1;24
PEIN;SOME 50%;2;0
PEIN;SOME 50%;3;11
PEIN;SOME 50%;4;0
PEIN;SOME 50%;5;0
PEIN;SOME 50%;6;0
PEIN;SOME 50%;7;259
PEIN;SOME 50%;8;17
PEIN;SOME 50%;9;250
PEIN;SOME 50%;10;0
PEIN;SOME 100%;1;0
PEIN;SOME 100%;2;0
PEIN;SOME 100%;3;0
PEIN;SOME 100%;4;0
PEIN;SOME 100%;5;0
PEIN;SOME 100%;6;0
PEIN;SOME 100%;7;0
PEIN;SOME 100%;8;0
PEIN;SOME 100%;9;0
PEIN;SOME 100%;10;0
PEIN;BRRA 50%;1;85
PEIN;BRRA 50%;2;163
PEIN;BRRA 50%;3;0
PEIN;BRRA 50%;4;79
PEIN;BRRA 50%;5;85
PEIN;BRRA 50%;6;217
PEIN;BRRA 50%;7;255
PEIN;BRRA 50%;8;0
PEIN;BRRA 50%;9;33
PEIN;BRRA 50%;10;42
PEIN;BRRA 100%;1;0
PEIN;BRRA 100%;2;0
PEIN;BRRA 100%;3;0
PEIN;BRRA 100%;4;0
PEIN;BRRA 100%;5;0
PEIN;BRRA 100%;6;0
PEIN;BRRA 100%;7;0
PEIN;BRRA 100%;8;0
PEIN;BRRA 100%;9;0
PEIN;BRRA 100%;10;0
PEIN;RARA 50%;1;0
PEIN;RARA 50%;2;0
PEIN;RARA 50%;3;14
PEIN;RARA 50%;4;0
PEIN;RARA 50%;5;0
PEIN;RARA 50%;6;0
PEIN;RARA 50%;7;0
PEIN;RARA 50%;8;0
PEIN;RARA 50%;9;33
PEIN;RARA 50%;10;0
PEIN;RARA 100%;1;0
PEIN;RARA 100%;2;0
PEIN;RARA 100%;3;0
PEIN;RARA 100%;4;0
PEIN;RARA 100%;5;0
PEIN;RARA 100%;6;0
PEIN;RARA 100%;7;0
PEIN;RARA 100%;8;0
PEIN;RARA 100%;9;0
PEIN;RARA 100%;10;0
PEIN;ERSA 50%;1;38
PEIN;ERSA 50%;2;155
PEIN;ERSA 50%;3;128
PEIN;ERSA 50%;4;111
PEIN;ERSA 50%;5;167
PEIN;ERSA 50%;6;0
PEIN;ERSA 50%;7;0
PEIN;ERSA 50%;8;78
PEIN;ERSA 50%;9;59
PEIN;ERSA 50%;10;193
PEIN;ERSA 100%;1;0
PEIN;ERSA 100%;2;0
PEIN;ERSA 100%;3;0
PEIN;ERSA 100%;4;0
PEIN;ERSA 100%;5;0
PEIN;ERSA 100%;6;0
PEIN;ERSA 100%;7;0
PEIN;ERSA 100%;8;0
PEIN;ERSA 100%;9;0
PEIN;ERSA 100%;10;0
PEIN;IPAQ 50%;1;0
PEIN;IPAQ 50%;2;37
PEIN;IPAQ 50%;3;0
PEIN;IPAQ 50%;4;0
PEIN;IPAQ 50%;5;0
PEIN;IPAQ 50%;6;0
PEIN;IPAQ 50%;7;0
PEIN;IPAQ 50%;8;0
PEIN;IPAQ 50%;9;299
PEIN;IPAQ 50%;10;164
PEIN;IPAQ 100%;1;0
PEIN;IPAQ 100%;2;0
PEIN;IPAQ 100%;3;0
PEIN;IPAQ 100%;4;0
PEIN;IPAQ 100%;5;0
PEIN;IPAQ 100%;6;0
PEIN;IPAQ 100%;7;0
PEIN;IPAQ 100%;8;0
PEIN;IPAQ 100%;9;0
PEIN;IPAQ 100%;10;0
