Species;Treatment;Treatment number;Fruit_set;seed_set
SOME;Cross;1;1;231
SOME;Cross;2;1;676
SOME;Cross;3;1;741
SOME;Cross;4;1;524
SOME;Cross;5;1;370
SOME;Cross;6;1;409
SOME;Cross;7;1;629
SOME;Cross;8;1;805
SOME;Cross;9;1;803
SOME;Cross;10;1;920
SOME;Self;1;1;718
SOME;Self;2;1;753
SOME;Self;3;1;1026
SOME;Self;4;1;914
SOME;Self;5;1;479
SOME;Self;6;1;499
SOME;Self;7;1;570
SOME;Self;8;1;599
SOME;Self;9;1;1720
SOME;Self;10;1;1607
SOME;Control;1;0;0
SOME;Control;2;0;0
SOME;Control;3;0;0
SOME;Control;4;0;0
SOME;Control;5;0;0
SOME;Control;6;0;0
SOME;Control;7;0;0
SOME;Control;8;0;0
SOME;Control;9;0;0
SOME;Control;10;0;0
SOME;Flower Control;1;1;844
SOME;Flower Control;2;1;552
SOME;Flower Control;3;1;85
SOME;Flower Control;4;1;376
SOME;Flower Control;5;0;0
SOME;Flower Control;6;1;308
SOME;Flower Control;7;0;0
SOME;Flower Control;8;0;0
SOME;Flower Control;9;0;0
SOME;Flower Control;10;1;13
SOME;BROL 100%;1;0;0
SOME;BROL 100%;2;0;0
SOME;BROL 100%;3;0;0
SOME;BROL 100%;4;0;0
SOME;BROL 100%;5;0;0
SOME;BROL 100%;6;0;0
SOME;BROL 100%;7;0;0
SOME;BROL 100%;8;0;0
SOME;BROL 100%;9;0;0
SOME;BROL 100%;10;0;0
SOME;BROL 50%;1;1;363
SOME;BROL 50%;2;1;250
SOME;BROL 50%;3;1;459
SOME;BROL 50%;4;1;404
SOME;BROL 50%;5;1;132
SOME;BROL 50%;6;1;55
SOME;BROL 50%;7;1;451
SOME;BROL 50%;8;1;319
SOME;BROL 50%;9;1;439
SOME;BROL 50%;10;1;554
SOME;IPPU 100%;1;0;0
SOME;IPPU 100%;2;0;0
SOME;IPPU 100%;3;0;0
SOME;IPPU 100%;4;0;0
SOME;IPPU 100%;5;0;0
SOME;IPPU 100%;6;0;0
SOME;IPPU 100%;7;0;0
SOME;IPPU 100%;8;0;0
SOME;IPPU 100%;9;0;0
SOME;IPPU 100%;10;0;0
SOME;IPPU 50%;1;1;282
SOME;IPPU 50%;2;1;275
SOME;IPPU 50%;3;0;0
SOME;IPPU 50%;4;0;0
SOME;IPPU 50%;5;0;0
SOME;IPPU 50%;6;1;466
SOME;IPPU 50%;7;1;469
SOME;IPPU 50%;8;0;0
SOME;IPPU 50%;9;1;499
SOME;IPPU 50%;10;1;722
SOME;CAAN 100%;1;0;0
SOME;CAAN 100%;2;0;0
SOME;CAAN 100%;3;0;0
SOME;CAAN 100%;4;0;0
SOME;CAAN 100%;5;0;0
SOME;CAAN 100%;6;0;0
SOME;CAAN 100%;7;1;0
SOME;CAAN 100%;8;0;0
SOME;CAAN 100%;9;0;0
SOME;CAAN 100%;10;0;0
SOME;CAAN 50%;1;0;0
SOME;CAAN 50%;2;1;243
SOME;CAAN 50%;3;0;0
SOME;CAAN 50%;4;1;323
SOME;CAAN 50%;5;1;472
SOME;CAAN 50%;6;1;337
SOME;CAAN 50%;7;1;12
SOME;CAAN 50%;8;1;512
SOME;CAAN 50%;9;1;355
SOME;CAAN 50%;10;1;8
SOME;PEIN 100%;1;1;0
SOME;PEIN 100%;2;1;0
SOME;PEIN 100%;3;1;36
SOME;PEIN 100%;4;0;0
SOME;PEIN 100%;5;1;0
SOME;PEIN 100%;6;0;0
SOME;PEIN 100%;7;0;0
SOME;PEIN 100%;8;0;0
SOME;PEIN 100%;9;0;0
SOME;PEIN 100%;10;0;0
SOME;PEIN 50%;1;1;477
SOME;PEIN 50%;2;1;608
SOME;PEIN 50%;3;1;196
