Species;Treatment;Treatment number;Fruit_set;seed_set
SOLY;Flower Control;1;1;66
SOLY;Flower Control;2;1;72
SOLY;Flower Control;3;1;33
SOLY;Flower Control;4;1;81
SOLY;Flower Control;5;1;64
SOLY;Flower Control;6;1;85
SOLY;Flower Control;7;1;0
SOLY;Flower Control;8;1;84
SOLY;Flower Control;9;1;53
SOLY;Flower Control;10;1;106
SOLY;Cross;1;1;107
SOLY;Cross;2;1;92
SOLY;Cross;3;1;92
SOLY;Cross;4;1;92
SOLY;Cross;5;1;96
SOLY;Cross;6;1;59
SOLY;Cross;7;1;71
SOLY;Cross;8;1;79
SOLY;Cross;9;1;66
SOLY;Cross;10;1;107
SOLY;Cross;11;1;93
SOLY;Cross;12;1;38
SOLY;Cross;13;1;121
SOLY;Cross;14;1;44
SOLY;Cross;15;1;90
SOLY;Cross;16;1;64
SOLY;Cross;17;1;53
SOLY;Cross;18;1;98
SOLY;Cross;19;1;108
SOLY;Cross;20;1;93
SOLY;Self;1;0;0
SOLY;Self;2;1;6
SOLY;Self;3;0;0
SOLY;Self;4;1;81
SOLY;Self;5;1;4
SOLY;Self;6;1;44
SOLY;Self;7;1;113
SOLY;Self;8;1;64
SOLY;Self;9;0;0
SOLY;Self;10;1;88
SOLY;Control;1;0;0
SOLY;Control;2;1;0
SOLY;Control;3;0;0
SOLY;Control;4;1;0
SOLY;Control;5;0;0
SOLY;Control;6;1;0
SOLY;Control;7;0;0
SOLY;Control;8;1;0
SOLY;Control;9;0;0
SOLY;Control;10;0;0
SOLY;Control;11;0;0
SOLY;IPPU 50%;1;0;0
SOLY;IPPU 50%;2;1;0
SOLY;IPPU 50%;3;1;0
SOLY;IPPU 50%;4;0;0
SOLY;IPPU 50%;5;1;5
SOLY;IPPU 50%;6;1;2
SOLY;IPPU 50%;7;0;0
SOLY;IPPU 50%;8;1;4
SOLY;IPPU 50%;9;1;3
SOLY;IPPU 50%;10;1;0
SOLY;IPPU 100%;1;0;0
SOLY;IPPU 100%;2;1;0
SOLY;IPPU 100%;3;0;0
SOLY;IPPU 100%;4;0;0
SOLY;IPPU 100%;5;0;0
SOLY;IPPU 100%;6;0;0
SOLY;IPPU 100%;7;0;0
SOLY;IPPU 100%;8;1;0
SOLY;IPPU 100%;9;1;0
SOLY;IPPU 100%;10;1;0
SOLY;SIAL 50%;1;0;0
SOLY;SIAL 50%;2;1;1
SOLY;SIAL 50%;3;1;3
SOLY;SIAL 50%;4;1;3
SOLY;SIAL 50%;5;1;0
SOLY;SIAL 50%;6;1;0
SOLY;SIAL 50%;7;0;0
SOLY;SIAL 50%;8;0;0
SOLY;SIAL 50%;9;1;24
SOLY;SIAL 50%;10;0;0
SOLY;SIAL 100%;1;1;0
SOLY;SIAL 100%;2;0;0
SOLY;SIAL 100%;3;0;0
SOLY;SIAL 100%;4;1;3
SOLY;SIAL 100%;5;1;0
SOLY;SIAL 100%;6;1;0
SOLY;SIAL 100%;7;0;0
SOLY;SIAL 100%;8;1;0
SOLY;SIAL 100%;9;1;0
SOLY;SIAL 100%;10;1;0
SOLY;CAAN 50%;1;1;0
SOLY;CAAN 50%;2;0;0
SOLY;CAAN 50%;3;1;0
SOLY;CAAN 50%;4;1;0
SOLY;CAAN 50%;5;1;0
SOLY;CAAN 50%;6;0;0
