Species;Ovules
CAAN;287
CAAN;195
CAAN;203
CAAN;129
CAAN;178
CAAN;148
CAAN;243
CAAN;248
CAAN;245
CAAN;218
CAAN;189
CAAN;273
CAAN;485
CAAN;297
CAAN;274
PEIN;138
PEIN;225
PEIN;237
PEIN;256
PEIN;211
PEIN;240
PEIN;247
PEIN;206
PEIN;179
PEIN;260
PEIN;152
PEIN;203
PEIN;311
PEIN;237
PEIN;203
SOLY;131
SOLY;103
SOLY;87
SOLY;116
SOLY;164
SOLY;79
SOLY;86
SOLY;89
SOLY;54
SOLY;55
SOLY;80
SOLY;58
SOLY;72
SOLY;91
SOLY;117
BROL;28
BROL;34
BROL;29
BROL;35
BROL;38
BROL;33
BROL;28
BROL;28
BROL;21
BROL;28
BROL;25
BROL;28
BROL;24
BROL;28
BROL;32
SIAL;5
SIAL;5
SIAL;6
SIAL;6
SIAL;5
SIAL;5
SIAL;6
SIAL;5
SIAL;9
SIAL;5
SIAL;9
SIAL;6
SIAL;6
SIAL;11
SIAL;6
SIAL;5
IPPU;6
IPPU;6
IPPU;6
IPPU;6
IPPU;6
IPPU;6
IPPU;6
IPPU;6
IPPU;6
IPPU;6
IPPU;6
IPPU;6
IPPU;6
IPPU;6
IPPU;6
SOME;1316
SOME;800
SOME;924
SOME;1079
SOME;893
SOME;1232
SOME;1540
SOME;773
SOME;468
SOME;814
SOME;952
SOME;1335
SOME;793
SOME;833
SOME;1401
RARA;10
RARA;12
RARA;12
RARA;11
RARA;10
RARA;12
RARA;14
RARA;10
RARA;12
RARA;14
RARA;14
RARA;12
RARA;13
RARA;13
RARA;11
