"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","ERSA","Brassica oleracea",1,0,"Brassicaceae"
"2","ERSA","Brassica oleracea",2,0,"Brassicaceae"
"3","ERSA","Brassica oleracea",3,0,"Brassicaceae"
"4","ERSA","Brassica oleracea",4,0,"Brassicaceae"
"5","ERSA","Brassica oleracea",5,0,"Brassicaceae"
"6","ERSA","Brassica oleracea",6,0,"Brassicaceae"
"7","ERSA","Brassica oleracea",7,0,"Brassicaceae"
"8","ERSA","Brassica oleracea",8,0,"Brassicaceae"
"9","ERSA","Brassica oleracea",9,0,"Brassicaceae"
"10","ERSA","Brassica oleracea",10,0,"Brassicaceae"
"11","ERSA","Brassica rapa",1,15,"Brassicaceae"
"12","ERSA","Brassica rapa",2,15,"Brassicaceae"
"13","ERSA","Brassica rapa",3,17,"Brassicaceae"
"14","ERSA","Brassica rapa",4,7,"Brassicaceae"
"15","ERSA","Brassica rapa",5,6,"Brassicaceae"
"16","ERSA","Brassica rapa",6,13,"Brassicaceae"
"17","ERSA","Brassica rapa",7,2,"Brassicaceae"
"18","ERSA","Brassica rapa",8,20,"Brassicaceae"
"19","ERSA","Brassica rapa",9,1,"Brassicaceae"
"20","ERSA","Brassica rapa",10,0,"Brassicaceae"
"21","ERSA","Eruca vesicaria",1,NA,"Brassicaceae"
"22","ERSA","Eruca vesicaria",2,NA,"Brassicaceae"
"23","ERSA","Eruca vesicaria",3,NA,"Brassicaceae"
"24","ERSA","Eruca vesicaria",4,NA,"Brassicaceae"
"25","ERSA","Eruca vesicaria",5,NA,"Brassicaceae"
"26","ERSA","Eruca vesicaria",6,NA,"Brassicaceae"
"27","ERSA","Eruca vesicaria",7,NA,"Brassicaceae"
"28","ERSA","Eruca vesicaria",8,NA,"Brassicaceae"
"29","ERSA","Eruca vesicaria",9,NA,"Brassicaceae"
"30","ERSA","Eruca vesicaria",10,NA,"Brassicaceae"
"31","ERSA","Sinapis alba",1,13,"Brassicaceae"
"32","ERSA","Sinapis alba",2,10,"Brassicaceae"
"33","ERSA","Sinapis alba",3,0,"Brassicaceae"
"34","ERSA","Sinapis alba",4,1,"Brassicaceae"
"35","ERSA","Sinapis alba",5,12,"Brassicaceae"
"36","ERSA","Sinapis alba",6,7,"Brassicaceae"
"37","ERSA","Sinapis alba",7,2,"Brassicaceae"
"38","ERSA","Sinapis alba",8,12,"Brassicaceae"
"39","ERSA","Sinapis alba",9,0,"Brassicaceae"
"40","ERSA","Sinapis alba",10,12,"Brassicaceae"
"41","ERSA","Ipomoea aquatica",1,10,"Convolvulaceae"
"42","ERSA","Ipomoea aquatica",2,7,"Convolvulaceae"
"43","ERSA","Ipomoea aquatica",3,15,"Convolvulaceae"
"44","ERSA","Ipomoea aquatica",4,16,"Convolvulaceae"
"45","ERSA","Ipomoea aquatica",5,17,"Convolvulaceae"
"46","ERSA","Ipomoea aquatica",6,15,"Convolvulaceae"
"47","ERSA","Ipomoea aquatica",7,22,"Convolvulaceae"
"48","ERSA","Ipomoea aquatica",8,23,"Convolvulaceae"
"49","ERSA","Ipomoea aquatica",9,0,"Convolvulaceae"
"50","ERSA","Ipomoea aquatica",10,0,"Convolvulaceae"
"51","ERSA","Ipomoea purpurea",1,0,"Convolvulaceae"
"52","ERSA","Ipomoea purpurea",2,11,"Convolvulaceae"
"53","ERSA","Ipomoea purpurea",3,14,"Convolvulaceae"
"54","ERSA","Ipomoea purpurea",4,2,"Convolvulaceae"
"55","ERSA","Ipomoea purpurea",5,0,"Convolvulaceae"
"56","ERSA","Ipomoea purpurea",6,0,"Convolvulaceae"
"57","ERSA","Ipomoea purpurea",7,2,"Convolvulaceae"
"58","ERSA","Ipomoea purpurea",8,3,"Convolvulaceae"
"59","ERSA","Ipomoea purpurea",9,0,"Convolvulaceae"
"60","ERSA","Ipomoea purpurea",10,13,"Convolvulaceae"
"61","ERSA","Capsicum annuum",1,0,"Solanaceae"
"62","ERSA","Capsicum annuum",2,0,"Solanaceae"
"63","ERSA","Capsicum annuum",3,4,"Solanaceae"
"64","ERSA","Capsicum annuum",4,10,"Solanaceae"
"65","ERSA","Capsicum annuum",5,8,"Solanaceae"
"66","ERSA","Capsicum annuum",6,6,"Solanaceae"
"67","ERSA","Capsicum annuum",7,11,"Solanaceae"
"68","ERSA","Capsicum annuum",8,0,"Solanaceae"
"69","ERSA","Capsicum annuum",9,0,"Solanaceae"
"70","ERSA","Capsicum annuum",10,0,"Solanaceae"
"71","ERSA","Petunia integrifolia",1,11,"Solanaceae"
"72","ERSA","Petunia integrifolia",2,11,"Solanaceae"
"73","ERSA","Petunia integrifolia",3,10,"Solanaceae"
"74","ERSA","Petunia integrifolia",4,9,"Solanaceae"
"75","ERSA","Petunia integrifolia",5,12,"Solanaceae"
"76","ERSA","Petunia integrifolia",6,0,"Solanaceae"
"77","ERSA","Petunia integrifolia",7,0,"Solanaceae"
"78","ERSA","Petunia integrifolia",8,2,"Solanaceae"
"79","ERSA","Petunia integrifolia",9,7,"Solanaceae"
"80","ERSA","Petunia integrifolia",10,0,"Solanaceae"
"81","ERSA","Solanum lycopersicum",1,10,"Solanaceae"
"82","ERSA","Solanum lycopersicum",2,1,"Solanaceae"
"83","ERSA","Solanum lycopersicum",3,17,"Solanaceae"
"84","ERSA","Solanum lycopersicum",4,8,"Solanaceae"
"85","ERSA","Solanum lycopersicum",5,0,"Solanaceae"
"86","ERSA","Solanum lycopersicum",6,0,"Solanaceae"
"87","ERSA","Solanum lycopersicum",7,0,"Solanaceae"
"88","ERSA","Solanum lycopersicum",8,0,"Solanaceae"
