"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","PEIN","Brassica oleracea",1,73,"Brassicaceae"
"2","PEIN","Brassica oleracea",2,0,"Brassicaceae"
"3","PEIN","Brassica oleracea",3,0,"Brassicaceae"
"4","PEIN","Brassica oleracea",4,0,"Brassicaceae"
"5","PEIN","Brassica oleracea",5,86,"Brassicaceae"
"6","PEIN","Brassica oleracea",6,330,"Brassicaceae"
"7","PEIN","Brassica oleracea",7,109,"Brassicaceae"
"8","PEIN","Brassica oleracea",8,81,"Brassicaceae"
"9","PEIN","Brassica oleracea",9,62,"Brassicaceae"
"10","PEIN","Brassica oleracea",10,0,"Brassicaceae"
"11","PEIN","Brassica rapa",1,85,"Brassicaceae"
"12","PEIN","Brassica rapa",2,163,"Brassicaceae"
"13","PEIN","Brassica rapa",3,0,"Brassicaceae"
"14","PEIN","Brassica rapa",4,79,"Brassicaceae"
"15","PEIN","Brassica rapa",5,85,"Brassicaceae"
"16","PEIN","Brassica rapa",6,217,"Brassicaceae"
"17","PEIN","Brassica rapa",7,255,"Brassicaceae"
"18","PEIN","Brassica rapa",8,0,"Brassicaceae"
"19","PEIN","Brassica rapa",9,33,"Brassicaceae"
"20","PEIN","Brassica rapa",10,42,"Brassicaceae"
"21","PEIN","Eruca vesicaria",1,38,"Brassicaceae"
"22","PEIN","Eruca vesicaria",2,155,"Brassicaceae"
"23","PEIN","Eruca vesicaria",3,128,"Brassicaceae"
"24","PEIN","Eruca vesicaria",4,111,"Brassicaceae"
"25","PEIN","Eruca vesicaria",5,167,"Brassicaceae"
"26","PEIN","Eruca vesicaria",6,0,"Brassicaceae"
"27","PEIN","Eruca vesicaria",7,0,"Brassicaceae"
"28","PEIN","Eruca vesicaria",8,78,"Brassicaceae"
"29","PEIN","Eruca vesicaria",9,59,"Brassicaceae"
"30","PEIN","Eruca vesicaria",10,193,"Brassicaceae"
"31","PEIN","Sinapis alba",1,21,"Brassicaceae"
"32","PEIN","Sinapis alba",2,0,"Brassicaceae"
"33","PEIN","Sinapis alba",3,61,"Brassicaceae"
"34","PEIN","Sinapis alba",4,17,"Brassicaceae"
"35","PEIN","Sinapis alba",5,20,"Brassicaceae"
"36","PEIN","Sinapis alba",6,0,"Brassicaceae"
"37","PEIN","Sinapis alba",7,0,"Brassicaceae"
"38","PEIN","Sinapis alba",8,0,"Brassicaceae"
"39","PEIN","Sinapis alba",9,23,"Brassicaceae"
"40","PEIN","Sinapis alba",10,0,"Brassicaceae"
"41","PEIN","Ipomoea aquatica",1,0,"Convolvulaceae"
"42","PEIN","Ipomoea aquatica",2,37,"Convolvulaceae"
"43","PEIN","Ipomoea aquatica",3,0,"Convolvulaceae"
"44","PEIN","Ipomoea aquatica",4,0,"Convolvulaceae"
"45","PEIN","Ipomoea aquatica",5,0,"Convolvulaceae"
"46","PEIN","Ipomoea aquatica",6,0,"Convolvulaceae"
"47","PEIN","Ipomoea aquatica",7,0,"Convolvulaceae"
"48","PEIN","Ipomoea aquatica",8,0,"Convolvulaceae"
"49","PEIN","Ipomoea aquatica",9,299,"Convolvulaceae"
"50","PEIN","Ipomoea aquatica",10,164,"Convolvulaceae"
"51","PEIN","Ipomoea purpurea",1,0,"Convolvulaceae"
"52","PEIN","Ipomoea purpurea",2,0,"Convolvulaceae"
"53","PEIN","Ipomoea purpurea",3,0,"Convolvulaceae"
"54","PEIN","Ipomoea purpurea",4,0,"Convolvulaceae"
"55","PEIN","Ipomoea purpurea",5,0,"Convolvulaceae"
"56","PEIN","Ipomoea purpurea",6,0,"Convolvulaceae"
