species,measurement,um,comment
SOLY,style_length_1,6379.17,
SOLY,style_width_1,288.59,
SOLY,ovary_legth_1,1465.62,
SOLY,ovary_width_1,1252.75,
SOLY,stigma_length_1,197.59,
SOLY,stigma_width_1,408.26,
SOLY,stigma_area_um_1,70137.37,elipse_5_points
SOLY,stigma_surface_width_1,281.46,diameter
SOLY,style_length_2,6930.5,
SOLY,style_width_2,314.04,
SOLY,ovary_legth_2,1910.23,
SOLY,ovary_width_2,1298.61,
SOLY,stigma_length_2,172.43,
SOLY,stigma_width_2,367.24,
SOLY,stigma_area_um_2,108186.61,elipse_5_points
SOLY,stigma_surface_width_2,326.46,diameter
SOLY,style_length_3,5760.02,
SOLY,style_width_3,288.44,
SOLY,ovary_legth_3,1173.1,
SOLY,ovary_width_3,1180.09,
SOLY,stigma_length_3,174.06,
SOLY,stigma_width_3,343.82,
SOLY,stigma_area_um_3,83725.46,elipse_5_points
SOLY,stigma_surface_width_3,332.2,diameter
SOLY,style_length_4,6076.11,
SOLY,style_width_4,277.93,
SOLY,ovary_legth_4,1055.24,
SOLY,ovary_width_4,895.54,
SOLY,stigma_length_4,125.2,
SOLY,stigma_width_4,316.88,
SOLY,stigma_area_um_4,78134.74,elipse_5_points
SOLY,stigma_surface_width_4,327.43,diameter
SOLY,style_length_5,6332.48,
SOLY,style_width_5,266.49,
SOLY,ovary_legth_5,1274.18,
SOLY,ovary_width_5,1083.9,
SOLY,stigma_length_5,118.72,
SOLY,stigma_width_5,296.85,
SOLY,stigma_area_um_5,69009.99,elipse_5_points
SOLY,stigma_surface_width_5,277.56,diameter
SOLY,style_length_6,6393.37,
SOLY,style_width_6,292.26,
SOLY,ovary_legth_6,1367.11,
SOLY,ovary_width_6,910.8,
SOLY,stigma_length_6,123.36,
SOLY,stigma_width_6,381.93,
SOLY,stigma_area_um_6,88310.71,elipse_5_points
SOLY,stigma_surface_width_6,381.93,diameter
SOLY,style_length_7,7041.52,
SOLY,style_width_7,320.56,
SOLY,ovary_legth_7,931.17,
SOLY,ovary_width_7,1047.38,
SOLY,stigma_length_7,209.17,
SOLY,stigma_width_7,336.28,
SOLY,stigma_area_um_7,84111.46,elipse_5_points
SOLY,stigma_surface_width_7,302.69,diameter
SOLY,style_length_8,6666.64,
SOLY,style_width_8,281.64,
SOLY,ovary_legth_8,1218.58,
SOLY,ovary_width_8,1112.62,
SOLY,stigma_length_8,211.29,
SOLY,stigma_width_8,266.92,
SOLY,stigma_area_um_8,79711.87,elipse_5_points
SOLY,stigma_surface_width_8,271.11,diameter
SOLY,style_length_9,6183.92,
SOLY,style_width_9,309.31,
SOLY,ovary_legth_9,1099.92,
