"","Species","Treatment","Treatment.number","Seed.production","Family"
"130","IPAQ","SOLY 100%",10,0,"Solanaceae"
"131","IPAQ","SOME 100%",1,0,"Solanaceae"
"132","IPAQ","SOME 100%",2,0,"Solanaceae"
"133","IPAQ","SOME 100%",3,0,"Solanaceae"
"134","IPAQ","SOME 100%",4,0,"Solanaceae"
"135","IPAQ","SOME 100%",5,0,"Solanaceae"
"136","IPAQ","SOME 100%",6,0,"Solanaceae"
"137","IPAQ","SOME 100%",7,0,"Solanaceae"
"138","IPAQ","SOME 100%",8,0,"Solanaceae"
"139","IPAQ","SOME 100%",9,0,"Solanaceae"
"140","IPAQ","SOME 100%",10,0,"Solanaceae"
"110","IPAQ","Cross",1,2,NA
"210","IPAQ","Cross",2,3,NA
"31","IPAQ","Cross",3,0,NA
"41","IPAQ","Cross",4,0,NA
"510","IPAQ","Cross",5,3,NA
"61","IPAQ","Cross",6,1,NA
"710","IPAQ","Cross",7,0,NA
"810","IPAQ","Cross",8,1,NA
"910","IPAQ","Cross",9,2,NA
"101","IPAQ","Cross",10,4,NA
"141","IPAQ","Self",1,0,NA
"211","IPAQ","Self",2,3,NA
"32","IPAQ","Self",3,1,NA
"42","IPAQ","Self",4,3,NA
"511","IPAQ","Self",5,0,NA
"62","IPAQ","Self",6,2,NA
"711","IPAQ","Self",7,2,NA
"811","IPAQ","Self",8,1,NA
"911","IPAQ","Self",9,0,NA
"102","IPAQ","Self",10,0,NA
"142","IPAQ","Control",1,0,NA
"212","IPAQ","Control",2,0,NA
"33","IPAQ","Control",3,0,NA
"43","IPAQ","Control",4,0,NA
"512","IPAQ","Control",5,0,NA
"63","IPAQ","Control",6,0,NA
"712","IPAQ","Control",7,0,NA
"812","IPAQ","Control",8,0,NA
"912","IPAQ","Control",9,0,NA
"103","IPAQ","Control",10,0,NA
"143","IPAQ","Flower control",1,0,NA
"213","IPAQ","Flower control",2,0,NA
"34","IPAQ","Flower control",3,0,NA
"44","IPAQ","Flower control",4,3,NA
"513","IPAQ","Flower control",5,0,NA
"64","IPAQ","Flower control",6,0,NA
"713","IPAQ","Flower control",7,0,NA
"813","IPAQ","Flower control",8,1,NA
"913","IPAQ","Flower control",9,4,NA
"104","IPAQ","Flower control",10,0,NA
