"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","SOLY","Brassica oleracea",1,64,"Brassicaceae"
"2","SOLY","Brassica oleracea",2,67,"Brassicaceae"
"3","SOLY","Brassica oleracea",3,75,"Brassicaceae"
"4","SOLY","Brassica oleracea",4,28,"Brassicaceae"
"5","SOLY","Brassica oleracea",5,73,"Brassicaceae"
"6","SOLY","Brassica oleracea",6,73,"Brassicaceae"
"7","SOLY","Brassica oleracea",7,72,"Brassicaceae"
"8","SOLY","Brassica oleracea",8,14,"Brassicaceae"
"9","SOLY","Brassica oleracea",9,44,"Brassicaceae"
"10","SOLY","Brassica oleracea",10,41,"Brassicaceae"
"11","SOLY","Brassica rapa",1,39,"Brassicaceae"
"12","SOLY","Brassica rapa",2,64,"Brassicaceae"
"13","SOLY","Brassica rapa",3,13,"Brassicaceae"
"14","SOLY","Brassica rapa",4,5,"Brassicaceae"
"15","SOLY","Brassica rapa",5,4,"Brassicaceae"
"16","SOLY","Brassica rapa",6,13,"Brassicaceae"
"17","SOLY","Brassica rapa",7,0,"Brassicaceae"
"18","SOLY","Brassica rapa",8,0,"Brassicaceae"
"19","SOLY","Brassica rapa",9,0,"Brassicaceae"
"20","SOLY","Brassica rapa",10,0,"Brassicaceae"
"21","SOLY","Eruca vesicaria",1,0,"Brassicaceae"
"22","SOLY","Eruca vesicaria",2,0,"Brassicaceae"
"23","SOLY","Eruca vesicaria",3,7,"Brassicaceae"
"24","SOLY","Eruca vesicaria",4,34,"Brassicaceae"
"25","SOLY","Eruca vesicaria",5,16,"Brassicaceae"
"26","SOLY","Eruca vesicaria",6,22,"Brassicaceae"
"27","SOLY","Eruca vesicaria",7,12,"Brassicaceae"
"28","SOLY","Eruca vesicaria",8,0,"Brassicaceae"
"29","SOLY","Eruca vesicaria",9,0,"Brassicaceae"
"30","SOLY","Eruca vesicaria",10,0,"Brassicaceae"
"31","SOLY","Sinapis alba",1,0,"Brassicaceae"
