"","Species","Treatment","Treatment.number","Seed.production","Family"
"110","CAAN","CROSS",10,0,"other"
"111","CAAN","SELF",1,176,"other"
"112","CAAN","SELF",2,101,"other"
"113","CAAN","SELF",3,358,"other"
"114","CAAN","SELF",4,9,"other"
"115","CAAN","SELF",5,0,"other"
"116","CAAN","SELF",6,0,"other"
"117","CAAN","SELF",7,170,"other"
"118","CAAN","SELF",8,319,"other"
"119","CAAN","SELF",9,182,"other"
"120","CAAN","SELF",10,281,"other"
"121","CAAN","CONTROL",1,0,"other"
"122","CAAN","CONTROL",2,0,"other"
"123","CAAN","CONTROL",3,0,"other"
"124","CAAN","CONTROL",4,0,"other"
"125","CAAN","CONTROL",5,0,"other"
"126","CAAN","CONTROL",6,0,"other"
"127","CAAN","CONTROL",7,0,"other"
"128","CAAN","CONTROL",8,0,"other"
"129","CAAN","CONTROL",9,0,"other"
"130","CAAN","CONTROL",10,0,"other"
"131","CAAN","FLOWER CONTROL",1,0,"other"
"132","CAAN","FLOWER CONTROL",2,0,"other"
"133","CAAN","FLOWER CONTROL",3,341,"other"
"134","CAAN","FLOWER CONTROL",4,0,"other"
"135","CAAN","FLOWER CONTROL",5,0,"other"
"136","CAAN","FLOWER CONTROL",6,225,"other"
"137","CAAN","FLOWER CONTROL",7,0,"other"
"138","CAAN","FLOWER CONTROL",8,0,"other"
"139","CAAN","FLOWER CONTROL",9,0,"other"
"140","CAAN","FLOWER CONTROL",10,0,"other"
