Species;Treatment;Treatment number;Seed production
BRRA;CAAN 100%;4;0
BRRA;CAAN 100%;5;0
BRRA;CAAN 100%;6;0
BRRA;CAAN 100%;7;0
BRRA;CAAN 100%;8;0
BRRA;CAAN 100%;9;0
BRRA;CAAN 100%;10;0
BRRA;ERSA 50%;1;0
BRRA;ERSA 50%;2;0
BRRA;ERSA 50%;3;0
BRRA;ERSA 50%;4;0
BRRA;ERSA 50%;5;0
BRRA;ERSA 50%;6;0
BRRA;ERSA 50%;7;0
BRRA;ERSA 50%;8;0
BRRA;ERSA 50%;9;0
BRRA;ERSA 50%;10;0
BRRA;ERSA 100%;1;0
BRRA;ERSA 100%;2;0
BRRA;ERSA 100%;3;0
BRRA;ERSA 100%;4;0
BRRA;ERSA 100%;5;0
BRRA;ERSA 100%;6;0
BRRA;ERSA 100%;7;0
BRRA;ERSA 100%;8;0
BRRA;ERSA 100%;9;0
BRRA;ERSA 100%;10;0
BRRA;IPAQ 50%;1;0
BRRA;IPAQ 50%;2;12
BRRA;IPAQ 50%;3;0
BRRA;IPAQ 50%;4;0
BRRA;IPAQ 50%;5;0
BRRA;IPAQ 50%;6;0
BRRA;IPAQ 50%;7;0
BRRA;IPAQ 50%;8;0
BRRA;IPAQ 50%;9;6
BRRA;IPAQ 50%;10;0
BRRA;IPAQ 100%;1;0
BRRA;IPAQ 100%;2;0
BRRA;IPAQ 100%;3;0
BRRA;IPAQ 100%;4;0
BRRA;IPAQ 100%;5;0
BRRA;IPAQ 100%;6;0
BRRA;IPAQ 100%;7;0
BRRA;IPAQ 100%;8;0
BRRA;IPAQ 100%;9;0
BRRA;IPAQ 100%;10;0
