Species;Treatment;Treatment number;Seed production
BROL;Cross;1;6
BROL;Cross;2;14
BROL;Cross;3;19
BROL;Cross;4;8
BROL;Cross;5;12
BROL;Cross;6;0
BROL;Cross;7;13
BROL;Cross;8;11
BROL;Cross;9;10
BROL;Cross;10;0
BROL;Self;1;0
BROL;Self;2;0
BROL;Self;3;0
BROL;Self;4;0
BROL;Self;5;0
BROL;Self;6;0
BROL;Self;7;0
BROL;Self;8;0
BROL;Self;9;0
BROL;Self;10;0
BROL;Control;1;0
BROL;Control;2;0
BROL;Control;3;0
BROL;Control;4;0
BROL;Control;5;0
BROL;Control;6;0
BROL;Control;7;0
BROL;Control;8;0
BROL;Control;9;0
BROL;Control;10;0
BROL;FC;1;0
BROL;FC;2;0
BROL;FC;3;0
BROL;FC;4;0
BROL;FC;5;0
BROL;FC;6;0
BROL;FC;7;0
BROL;FC;8;0
BROL;FC;9;0
BROL;FC;10;0
BROL;SOLY 50%;1;0
BROL;SOLY 50%;2;2
BROL;SOLY 50%;3;0
BROL;SOLY 50%;4;0
BROL;SOLY 50%;5;4
BROL;SOLY 50%;6;0
BROL;SOLY 50%;7;1
BROL;SOLY 50%;8;0
BROL;SOLY 50%;9;2
BROL;SOLY 50%;10;1
BROL;SOLY 100%;1;0
BROL;SOLY 100%;2;0
BROL;SOLY 100%;3;0
BROL;SOLY 100%;4;0
BROL;SOLY 100%;5;0
BROL;SOLY 100%;6;0
BROL;SOLY 100%;7;0
BROL;SOLY 100%;8;0
BROL;SOLY 100%;9;0
BROL;SOLY 100%;10;0
BROL;CAAN 50%;1;7
BROL;CAAN 50%;2;12
BROL;CAAN 50%;3;8
BROL;CAAN 50%;4;6
BROL;CAAN 50%;5;1
BROL;CAAN 50%;6;0
BROL;CAAN 50%;7;0
BROL;CAAN 50%;8;0
BROL;CAAN 50%;9;0
BROL;CAAN 50%;10;5
BROL;CAAN 100%;1;0
BROL;CAAN 100%;2;0
BROL;CAAN 100%;3;0
BROL;CAAN 100%;4;0
BROL;CAAN 100%;5;5
BROL;CAAN 100%;6;0
BROL;CAAN 100%;7;0
BROL;CAAN 100%;8;0
BROL;CAAN 100%;9;0
BROL;CAAN 100%;10;0
BROL;IPPU 50%;1;0
BROL;IPPU 50%;2;0
BROL;IPPU 50%;3;0
BROL;IPPU 50%;4;0
BROL;IPPU 50%;5;0
BROL;IPPU 50%;6;0
BROL;IPPU 50%;7;0
BROL;IPPU 50%;8;0
BROL;IPPU 50%;9;0
BROL;IPPU 50%;10;0
BROL;IPPU 100%;1;0
BROL;IPPU 100%;2;0
BROL;IPPU 100%;3;0
BROL;IPPU 100%;4;0
BROL;IPPU 100%;5;0
BROL;IPPU 100%;6;0
BROL;IPPU 100%;7;0
BROL;IPPU 100%;8;0
BROL;IPPU 100%;9;0
BROL;IPPU 100%;10;0
BROL;PEIN 50%;1;5
BROL;PEIN 50%;2;5
BROL;PEIN 50%;3;0
BROL;PEIN 50%;4;0
BROL;PEIN 50%;5;0
BROL;PEIN 50%;6;0
BROL;PEIN 50%;7;0
BROL;PEIN 50%;8;0
BROL;PEIN 50%;9;0
BROL;PEIN 50%;10;0
BROL;PEIN 100%;1;0
BROL;PEIN 100%;2;0
BROL;PEIN 100%;3;0
BROL;PEIN 100%;4;0
BROL;PEIN 100%;5;0
BROL;PEIN 100%;6;0
BROL;PEIN 100%;7;0
BROL;PEIN 100%;8;0
BROL;PEIN 100%;9;0
BROL;PEIN 100%;10;0
BROL;SIAL 50%;1;0
BROL;SIAL 50%;2;0
BROL;SIAL 50%;3;1
BROL;SIAL 50%;4;0
BROL;SIAL 50%;5;2
BROL;SIAL 50%;6;2
BROL;SIAL 50%;7;1
BROL;SIAL 50%;8;1
BROL;SIAL 50%;9;0
BROL;SIAL 50%;10;0
BROL;SIAL 100%;1;0
BROL;SIAL 100%;2;0
BROL;SIAL 100%;3;0
BROL;SIAL 100%;4;0
BROL;SIAL 100%;5;0
BROL;SIAL 100%;6;0
BROL;SIAL 100%;7;0
BROL;SIAL 100%;8;0
BROL;SIAL 100%;9;0
BROL;SIAL 100%;10;0
BROL;SOME 50%;1;3
BROL;SOME 50%;2;0
BROL;SOME 50%;3;2
BROL;SOME 50%;4;0
BROL;SOME 50%;5;1
BROL;SOME 50%;6;0
BROL;SOME 50%;7;0
BROL;SOME 50%;8;0
BROL;SOME 50%;9;1
BROL;SOME 50%;10;0
BROL;SOME 100%;1;0
BROL;SOME 100%;2;0
BROL;SOME 100%;3;0
BROL;SOME 100%;4;0
BROL;SOME 100%;5;0
BROL;SOME 100%;6;0
BROL;SOME 100%;7;0
BROL;SOME 100%;8;0
BROL;SOME 100%;9;0
BROL;SOME 100%;10;0
BROL;COSA 50%;1;1
BROL;COSA 50%;2;0
BROL;COSA 50%;3;0
BROL;COSA 50%;4;0
BROL;COSA 50%;5;0
BROL;COSA 50%;6;0
BROL;COSA 50%;7;0
BROL;COSA 50%;8;0
BROL;COSA 50%;9;0
BROL;COSA 50%;10;0
BROL;COSA 100%;1;0
BROL;COSA 100%;2;0
BROL;COSA 100%;3;0
BROL;COSA 100%;4;0
BROL;COSA 100%;5;0
BROL;COSA 100%;6;0
BROL;COSA 100%;7;0
BROL;COSA 100%;8;0
BROL;COSA 100%;9;0
