Species;Treatment;Treatment number;Seed production
BROL;COSA 100%;10;0
BROL;RARA 50%;1;0
BROL;RARA 50%;2;12
BROL;RARA 50%;3;14
BROL;RARA 50%;4;14
BROL;RARA 50%;5;22
BROL;RARA 50%;6;0
BROL;RARA 50%;7;0
BROL;RARA 50%;8;0
BROL;RARA 50%;9;0
BROL;RARA 50%;10;10
BROL;RARA 100%;1;0
BROL;RARA 100%;2;0
BROL;RARA 100%;3;0
BROL;RARA 100%;4;0
BROL;RARA 100%;5;0
BROL;RARA 100%;6;0
BROL;RARA 100%;7;0
BROL;RARA 100%;8;0
BROL;RARA 100%;9;0
BROL;RARA 100%;10;0
BROL;BRRA 50%;1;0
BROL;BRRA 50%;2;0
BROL;BRRA 50%;3;0
BROL;BRRA 50%;4;0
BROL;BRRA 50%;5;0
BROL;BRRA 50%;6;13
BROL;BRRA 50%;7;1
BROL;BRRA 50%;8;18
BROL;BRRA 50%;9;0
BROL;BRRA 50%;10;0
BROL;BRRA 100%;1;0
BROL;BRRA 100%;2;0
BROL;BRRA 100%;3;0
BROL;BRRA 100%;4;0
BROL;BRRA 100%;5;0
BROL;BRRA 100%;6;0
BROL;BRRA 100%;7;0
BROL;BRRA 100%;8;0
BROL;BRRA 100%;9;0
BROL;BRRA 100%;10;0
BROL;IPAQ 50%;1;0
BROL;IPAQ 50%;2;0
BROL;IPAQ 50%;3;0
BROL;IPAQ 50%;4;0
BROL;IPAQ 50%;5;0
BROL;IPAQ 50%;6;0
BROL;IPAQ 50%;7;0
BROL;IPAQ 50%;8;0
BROL;IPAQ 50%;9;0
BROL;IPAQ 50%;10;0
BROL;IPAQ 50%;1;0
BROL;IPAQ 50%;2;0
BROL;IPAQ 50%;3;0
BROL;IPAQ 50%;4;0
BROL;IPAQ 50%;5;4
BROL;IPAQ 50%;6;0
BROL;IPAQ 50%;7;0
BROL;IPAQ 50%;8;0
BROL;IPAQ 50%;9;0
BROL;IPAQ 50%;10;0
BROL;ERSA 50%;1;0
BROL;ERSA 50%;2;0
BROL;ERSA 50%;3;0
BROL;ERSA 50%;4;1
BROL;ERSA 50%;5;0
BROL;ERSA 50%;6;0
BROL;ERSA 50%;7;0
BROL;ERSA 50%;8;0
BROL;ERSA 50%;9;0
BROL;ERSA 50%;10;0
BROL;ERSA 100%;1;0
BROL;ERSA 100%;2;0
BROL;ERSA 100%;3;0
BROL;ERSA 100%;4;0
BROL;ERSA 100%;5;0
BROL;ERSA 100%;6;0
BROL;ERSA 100%;7;0
BROL;ERSA 100%;8;0
BROL;ERSA 100%;9;0
BROL;ERSA 100%;10;0
