"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","SIAL","Wild cabbage",1,0,"Brassicaceae"
"2","SIAL","Wild cabbage",2,2,"Brassicaceae"
"3","SIAL","Wild cabbage",3,0,"Brassicaceae"
"4","SIAL","Wild cabbage",4,0,"Brassicaceae"
"5","SIAL","Wild cabbage",5,0,"Brassicaceae"
"6","SIAL","Wild cabbage",6,0,"Brassicaceae"
"7","SIAL","Wild cabbage",7,0,"Brassicaceae"
"8","SIAL","Wild cabbage",8,0,"Brassicaceae"
"9","SIAL","Wild cabbage",9,2,"Brassicaceae"
"10","SIAL","Wild cabbage",10,6,"Brassicaceae"
"11","SIAL","Pak choi",1,0,"Brassicaceae"
"12","SIAL","Pak choi",2,0,"Brassicaceae"
"13","SIAL","Pak choi",3,0,"Brassicaceae"
"14","SIAL","Pak choi",4,0,"Brassicaceae"
"15","SIAL","Pak choi",5,0,"Brassicaceae"
"16","SIAL","Pak choi",6,0,"Brassicaceae"
"17","SIAL","Pak choi",7,0,"Brassicaceae"
"18","SIAL","Pak choi",8,0,"Brassicaceae"
"19","SIAL","Pak choi",9,0,"Brassicaceae"
"20","SIAL","Pak choi",10,0,"Brassicaceae"
"21","SIAL","Rocket",1,0,"Brassicaceae"
"22","SIAL","Rocket",2,0,"Brassicaceae"
"23","SIAL","Rocket",3,0,"Brassicaceae"
"24","SIAL","Rocket",4,0,"Brassicaceae"
"25","SIAL","Rocket",5,0,"Brassicaceae"
"26","SIAL","Rocket",6,0,"Brassicaceae"
"27","SIAL","Rocket",7,6,"Brassicaceae"
"28","SIAL","Rocket",8,4,"Brassicaceae"
"29","SIAL","Rocket",9,0,"Brassicaceae"
"30","SIAL","Rocket",10,0,"Brassicaceae"
"31","SIAL","White mustard",1,NA,"Brassicaceae"
"32","SIAL","White mustard",2,NA,"Brassicaceae"
"33","SIAL","White mustard",3,NA,"Brassicaceae"
"34","SIAL","White mustard",4,NA,"Brassicaceae"
"35","SIAL","White mustard",5,NA,"Brassicaceae"
"36","SIAL","White mustard",6,NA,"Brassicaceae"
"37","SIAL","White mustard",7,NA,"Brassicaceae"
"38","SIAL","White mustard",8,NA,"Brassicaceae"
"39","SIAL","White mustard",9,NA,"Brassicaceae"
"40","SIAL","White mustard",10,NA,"Brassicaceae"
"41","SIAL","Morning glory",1,0,"Convolvulaceae"
"42","SIAL","Morning glory",2,0,"Convolvulaceae"
"43","SIAL","Morning glory",3,0,"Convolvulaceae"
"44","SIAL","Morning glory",4,0,"Convolvulaceae"
"45","SIAL","Morning glory",5,5,"Convolvulaceae"
"46","SIAL","Morning glory",6,0,"Convolvulaceae"
"47","SIAL","Morning glory",7,0,"Convolvulaceae"
"48","SIAL","Morning glory",8,0,"Convolvulaceae"
"49","SIAL","Morning glory",9,0,"Convolvulaceae"
"50","SIAL","Morning glory",10,0,"Convolvulaceae"
"51","SIAL","Capsicum",1,7,"Solanaceae"
"52","SIAL","Capsicum",2,6,"Solanaceae"
"53","SIAL","Capsicum",3,2,"Solanaceae"
"54","SIAL","Capsicum",4,4,"Solanaceae"
"55","SIAL","Capsicum",5,5,"Solanaceae"
"56","SIAL","Capsicum",6,0,"Solanaceae"
"57","SIAL","Capsicum",7,6,"Solanaceae"
"58","SIAL","Capsicum",8,5,"Solanaceae"
"59","SIAL","Capsicum",9,4,"Solanaceae"
"60","SIAL","Capsicum",10,5,"Solanaceae"
"61","SIAL","Petunia",1,6,"Solanaceae"
"62","SIAL","Petunia",2,4,"Solanaceae"
"63","SIAL","Petunia",3,4,"Solanaceae"
"64","SIAL","Petunia",4,5,"Solanaceae"
"65","SIAL","Petunia",5,5,"Solanaceae"
"66","SIAL","Petunia",6,4,"Solanaceae"
"67","SIAL","Petunia",7,0,"Solanaceae"
"68","SIAL","Petunia",8,0,"Solanaceae"
"69","SIAL","Petunia",9,4,"Solanaceae"
"70","SIAL","Petunia",10,5,"Solanaceae"
"71","SIAL","Tomato",1,7,"Solanaceae"
"72","SIAL","Tomato",2,0,"Solanaceae"
"73","SIAL","Tomato",3,1,"Solanaceae"
"74","SIAL","Tomato",4,5,"Solanaceae"
"75","SIAL","Tomato",5,5,"Solanaceae"
"76","SIAL","Tomato",6,3,"Solanaceae"
"77","SIAL","Tomato",7,4,"Solanaceae"
"78","SIAL","Tomato",8,4,"Solanaceae"
"79","SIAL","Tomato",9,4,"Solanaceae"
