Species;Treatment;Treatment number;Seed production
SIAL;Cross;1;4
SIAL;Cross;2;0
SIAL;Cross;3;0
SIAL;Cross;4;6
SIAL;Cross;5;6
SIAL;Cross;6;0
SIAL;Cross;7;0
SIAL;Cross;8;7
SIAL;Cross;9;3
SIAL;Cross;10;0
SIAL;Self;1;0
SIAL;Self;2;4
SIAL;Self;3;2
SIAL;Self;4;5
SIAL;Self;5;4
SIAL;Self;6;3
SIAL;Self;7;0
SIAL;Self;8;0
SIAL;Self;9;5
SIAL;Self;10;6
SIAL;Control;1;0
SIAL;Control;2;0
SIAL;Control;3;0
SIAL;Control;4;4
SIAL;Control;5;5
SIAL;Control;6;0
SIAL;Control;7;0
SIAL;Control;8;0
SIAL;Control;9;0
SIAL;Control;10;0
SIAL;SOLY 50%;1;7
SIAL;SOLY 50%;2;0
SIAL;SOLY 50%;3;1
SIAL;SOLY 50%;4;5
SIAL;SOLY 50%;5;5
SIAL;SOLY 50%;6;3
SIAL;SOLY 50%;7;4
SIAL;SOLY 50%;8;4
SIAL;SOLY 50%;9;4
SIAL;SOLY 50%;10;4
SIAL;SOLY 100%;1;0
SIAL;SOLY 100%;2;0
SIAL;SOLY 100%;3;0
SIAL;SOLY 100%;4;0
SIAL;SOLY 100%;5;0
SIAL;SOLY 100%;6;0
SIAL;SOLY 100%;7;0
SIAL;SOLY 100%;8;0
SIAL;SOLY 100%;9;1
SIAL;SOLY 100%;10;0
SIAL;PEIN 50%;1;6
SIAL;PEIN 50%;2;4
SIAL;PEIN 50%;3;4
SIAL;PEIN 50%;4;5
SIAL;PEIN 50%;5;5
SIAL;PEIN 50%;6;4
SIAL;PEIN 50%;7;0
SIAL;PEIN 50%;8;0
SIAL;PEIN 50%;9;4
SIAL;PEIN 50%;10;5
SIAL;PEIN 100%;1;0
SIAL;PEIN 100%;2;0
SIAL;PEIN 100%;3;0
SIAL;PEIN 100%;4;0
SIAL;PEIN 100%;5;0
SIAL;PEIN 100%;6;0
SIAL;PEIN 100%;7;0
SIAL;PEIN 100%;8;0
SIAL;PEIN 100%;9;0
SIAL;PEIN 100%;10;0
SIAL;CAAN 50%;1;7
SIAL;CAAN 50%;2;6
SIAL;CAAN 50%;3;2
SIAL;CAAN 50%;4;4
