Species;Treatment;Treatment number;seed production
ERSA;BROL 100%;4;0
ERSA;BROL 100%;5;0
ERSA;BROL 100%;6;0
ERSA;BROL 100%;7;0
ERSA;BROL 100%;8;0
ERSA;BROL 100%;9;0
ERSA;BROL 100%;10;0
ERSA;IPPU 50%;1;0
ERSA;IPPU 50%;2;11
ERSA;IPPU 50%;3;14
ERSA;IPPU 50%;4;2
ERSA;IPPU 50%;5;0
ERSA;IPPU 50%;6;0
ERSA;IPPU 50%;7;2
ERSA;IPPU 50%;8;3
ERSA;IPPU 50%;9;0
ERSA;IPPU 50%;10;13
ERSA;IPPU 100%;1;0
ERSA;IPPU 100%;2;0
ERSA;IPPU 100%;3;0
ERSA;IPPU 100%;4;0
ERSA;IPPU 100%;5;0
ERSA;IPPU 100%;6;0
ERSA;IPPU 100%;7;0
ERSA;IPPU 100%;8;0
ERSA;IPPU 100%;9;0
ERSA;IPPU 100%;10;0
ERSA;SIAL 50%;1;13
ERSA;SIAL 50%;2;10
ERSA;SIAL 50%;3;0
ERSA;SIAL 50%;4;1
ERSA;SIAL 50%;5;12
ERSA;SIAL 50%;6;7
ERSA;SIAL 50%;7;2
ERSA;SIAL 50%;8;12
ERSA;SIAL 50%;9;0
ERSA;SIAL 50%;10;12
ERSA;SIAL 100%;1;0
ERSA;SIAL 100%;2;0
ERSA;SIAL 100%;3;0
ERSA;SIAL 100%;4;0
ERSA;SIAL 100%;5;0
ERSA;SIAL 100%;6;0
ERSA;SIAL 100%;7;0
ERSA;SIAL 100%;8;0
ERSA;SIAL 100%;9;0
ERSA;SIAL 100%;10;0
ERSA;SOLY 50%;1;10
ERSA;SOLY 50%;2;1
ERSA;SOLY 50%;3;17
ERSA;SOLY 50%;4;8
ERSA;SOLY 50%;5;0
ERSA;SOLY 50%;6;0
ERSA;SOLY 50%;7;0
ERSA;SOLY 50%;8;0
ERSA;SOLY 50%;9;0
ERSA;SOLY 50%;10;0
ERSA;SOLY 100%;1;0
ERSA;SOLY 100%;2;0
ERSA;SOLY 100%;3;0
ERSA;SOLY 100%;4;0
ERSA;SOLY 100%;5;0
ERSA;SOLY 100%;6;0
ERSA;SOLY 100%;7;0
ERSA;SOLY 100%;8;0
ERSA;SOLY 100%;9;0
ERSA;SOLY 100%;10;0
ERSA;CAAN 50%;1;0
ERSA;CAAN 50%;2;0
ERSA;CAAN 50%;3;4
ERSA;CAAN 50%;4;10
ERSA;CAAN 50%;5;8
ERSA;CAAN 50%;6;6
ERSA;CAAN 50%;7;11
ERSA;CAAN 50%;8;0
ERSA;CAAN 50%;9;0
ERSA;CAAN 50%;10;0
ERSA;CAAN 100%;1;0
ERSA;CAAN 100%;2;0
ERSA;CAAN 100%;3;0
ERSA;CAAN 100%;4;0
ERSA;CAAN 100%;5;0
ERSA;CAAN 100%;6;0
ERSA;CAAN 100%;7;0
ERSA;CAAN 100%;8;0
ERSA;CAAN 100%;9;0
ERSA;CAAN 100%;10;0
ERSA;BRRA 50%;1;15
ERSA;BRRA 50%;2;15
ERSA;BRRA 50%;3;17
ERSA;BRRA 50%;4;7
ERSA;BRRA 50%;5;6
ERSA;BRRA 50%;6;13
ERSA;BRRA 50%;7;2
ERSA;BRRA 50%;8;20
ERSA;BRRA 50%;9;1
ERSA;BRRA 50%;10;0
ERSA;BRRA 100%;1;0
ERSA;BRRA 100%;2;0
ERSA;BRRA 100%;3;0
ERSA;BRRA 100%;4;0
ERSA;BRRA 100%;5;0
ERSA;BRRA 100%;6;0
ERSA;BRRA 100%;7;0
ERSA;BRRA 100%;8;0
ERSA;BRRA 100%;9;0
ERSA;BRRA 100%;10;0
ERSA;IPAQ 50%;1;10
ERSA;IPAQ 50%;2;7
ERSA;IPAQ 50%;3;15
ERSA;IPAQ 50%;4;16
ERSA;IPAQ 50%;5;17
ERSA;IPAQ 50%;6;15
ERSA;IPAQ 50%;7;22
ERSA;IPAQ 50%;8;23
ERSA;IPAQ 50%;9;0
ERSA;IPAQ 50%;10;0
ERSA;IPAQ 100%;1;0
ERSA;IPAQ 100%;2;0
ERSA;IPAQ 100%;3;0
ERSA;IPAQ 100%;4;0
ERSA;IPAQ 100%;5;0
ERSA;IPAQ 100%;6;0
ERSA;IPAQ 100%;7;0
ERSA;IPAQ 100%;8;0
ERSA;IPAQ 100%;9;0
ERSA;IPAQ 100%;10;0
