Species;Treatment;Treatment number;seed production
ERSA;Cross;1;16
ERSA;Cross;2;7
ERSA;Cross;3;0
ERSA;Cross;4;9
ERSA;Cross;5;0
ERSA;Cross;6;2
ERSA;Cross;7;0
ERSA;Cross;8;11
ERSA;Cross;9;12
ERSA;Cross;10;0
ERSA;Self;1;0
ERSA;Self;2;0
ERSA;Self;3;1
ERSA;Self;4;0
ERSA;Self;5;0
ERSA;Self;6;0
ERSA;Self;7;0
ERSA;Self;8;0
ERSA;Self;9;0
ERSA;Self;10;0
ERSA;Control;1;0
ERSA;Control;2;0
ERSA;Control;3;0
ERSA;Control;4;0
ERSA;Control;5;0
ERSA;Control;6;0
ERSA;Control;7;0
ERSA;Control;8;0
ERSA;Control;9;0
ERSA;Control;10;0
ERSA;Flower Control;1;0
ERSA;Flower Control;2;0
ERSA;Flower Control;3;0
ERSA;Flower Control;4;0
ERSA;Flower Control;5;0
ERSA;Flower Control;6;0
ERSA;Flower Control;7;0
ERSA;Flower Control;8;0
ERSA;Flower Control;9;0
ERSA;Flower Control;10;0
ERSA;PEIN 50%;1;11
ERSA;PEIN 50%;2;11
ERSA;PEIN 50%;3;10
ERSA;PEIN 50%;4;9
ERSA;PEIN 50%;5;12
ERSA;PEIN 50%;6;0
ERSA;PEIN 50%;7;0
ERSA;PEIN 50%;8;2
ERSA;PEIN 50%;9;7
ERSA;PEIN 50%;10;0
ERSA;PEIN 100%;1;0
ERSA;PEIN 100%;2;0
ERSA;PEIN 100%;3;0
ERSA;PEIN 100%;4;0
ERSA;PEIN 100%;5;0
ERSA;PEIN 100%;6;0
ERSA;PEIN 100%;7;0
ERSA;PEIN 100%;8;2
ERSA;PEIN 100%;9;0
ERSA;PEIN 100%;10;0
ERSA;SOME 50%;1;0
ERSA;SOME 50%;2;12
ERSA;SOME 50%;3;11
ERSA;SOME 50%;4;15
ERSA;SOME 50%;5;10
ERSA;SOME 50%;6;15
ERSA;SOME 50%;7;0
ERSA;SOME 50%;8;17
ERSA;SOME 50%;9;17
ERSA;SOME 50%;10;0
ERSA;SOME 100%;1;0
ERSA;SOME 100%;2;0
ERSA;SOME 100%;3;0
ERSA;SOME 100%;4;0
ERSA;SOME 100%;5;0
ERSA;SOME 100%;6;0
ERSA;SOME 100%;7;0
ERSA;SOME 100%;8;0
ERSA;SOME 100%;9;0
ERSA;SOME 100%;10;0
ERSA;BROL 50%;1;0
ERSA;BROL 50%;2;0
ERSA;BROL 50%;3;0
ERSA;BROL 50%;4;0
ERSA;BROL 50%;5;0
ERSA;BROL 50%;6;0
ERSA;BROL 50%;7;0
ERSA;BROL 50%;8;0
ERSA;BROL 50%;9;0
ERSA;BROL 50%;10;0
ERSA;BROL 100%;1;0
ERSA;BROL 100%;2;0
ERSA;BROL 100%;3;0
