"","Species","Treatment","Treatment.number","Seed.production","Family"
"1","SIAL","Brassica oleracea",1,0,"Brassicaceae"
"2","SIAL","Brassica oleracea",2,2,"Brassicaceae"
"3","SIAL","Brassica oleracea",3,0,"Brassicaceae"
"4","SIAL","Brassica oleracea",4,0,"Brassicaceae"
"5","SIAL","Brassica oleracea",5,0,"Brassicaceae"
"6","SIAL","Brassica oleracea",6,0,"Brassicaceae"
"7","SIAL","Brassica oleracea",7,0,"Brassicaceae"
"8","SIAL","Brassica oleracea",8,0,"Brassicaceae"
"9","SIAL","Brassica oleracea",9,2,"Brassicaceae"
"10","SIAL","Brassica oleracea",10,6,"Brassicaceae"
"11","SIAL","Brassica rapa",1,0,"Brassicaceae"
"12","SIAL","Brassica rapa",2,0,"Brassicaceae"
"13","SIAL","Brassica rapa",3,0,"Brassicaceae"
"14","SIAL","Brassica rapa",4,0,"Brassicaceae"
"15","SIAL","Brassica rapa",5,0,"Brassicaceae"
"16","SIAL","Brassica rapa",6,0,"Brassicaceae"
"17","SIAL","Brassica rapa",7,0,"Brassicaceae"
"18","SIAL","Brassica rapa",8,0,"Brassicaceae"
"19","SIAL","Brassica rapa",9,0,"Brassicaceae"
"20","SIAL","Brassica rapa",10,0,"Brassicaceae"
"21","SIAL","Eruca vesicaria",1,0,"Brassicaceae"
"22","SIAL","Eruca vesicaria",2,0,"Brassicaceae"
"23","SIAL","Eruca vesicaria",3,0,"Brassicaceae"
"24","SIAL","Eruca vesicaria",4,0,"Brassicaceae"
"25","SIAL","Eruca vesicaria",5,0,"Brassicaceae"
"26","SIAL","Eruca vesicaria",6,0,"Brassicaceae"
"27","SIAL","Eruca vesicaria",7,6,"Brassicaceae"
"28","SIAL","Eruca vesicaria",8,4,"Brassicaceae"
"29","SIAL","Eruca vesicaria",9,0,"Brassicaceae"
"30","SIAL","Eruca vesicaria",10,0,"Brassicaceae"
"31","SIAL","Sinapis alba",1,NA,"Brassicaceae"
"32","SIAL","Sinapis alba",2,NA,"Brassicaceae"
"33","SIAL","Sinapis alba",3,NA,"Brassicaceae"
"34","SIAL","Sinapis alba",4,NA,"Brassicaceae"
"35","SIAL","Sinapis alba",5,NA,"Brassicaceae"
"36","SIAL","Sinapis alba",6,NA,"Brassicaceae"
"37","SIAL","Sinapis alba",7,NA,"Brassicaceae"
"38","SIAL","Sinapis alba",8,NA,"Brassicaceae"
"39","SIAL","Sinapis alba",9,NA,"Brassicaceae"
"40","SIAL","Sinapis alba",10,NA,"Brassicaceae"
"41","SIAL","Ipomoea purpurea",1,0,"Convolvulaceae"
"42","SIAL","Ipomoea purpurea",2,0,"Convolvulaceae"
"43","SIAL","Ipomoea purpurea",3,0,"Convolvulaceae"
"44","SIAL","Ipomoea purpurea",4,0,"Convolvulaceae"
"45","SIAL","Ipomoea purpurea",5,5,"Convolvulaceae"
"46","SIAL","Ipomoea purpurea",6,0,"Convolvulaceae"
"47","SIAL","Ipomoea purpurea",7,0,"Convolvulaceae"
"48","SIAL","Ipomoea purpurea",8,0,"Convolvulaceae"
"49","SIAL","Ipomoea purpurea",9,0,"Convolvulaceae"
"50","SIAL","Ipomoea purpurea",10,0,"Convolvulaceae"
"51","SIAL","Capsicum annuum",1,7,"Solanaceae"
"52","SIAL","Capsicum annuum",2,6,"Solanaceae"
"53","SIAL","Capsicum annuum",3,2,"Solanaceae"
"54","SIAL","Capsicum annuum",4,4,"Solanaceae"
"55","SIAL","Capsicum annuum",5,5,"Solanaceae"
"56","SIAL","Capsicum annuum",6,0,"Solanaceae"
"57","SIAL","Capsicum annuum",7,6,"Solanaceae"
"58","SIAL","Capsicum annuum",8,5,"Solanaceae"
"59","SIAL","Capsicum annuum",9,4,"Solanaceae"
"60","SIAL","Capsicum annuum",10,5,"Solanaceae"
"61","SIAL","Petunia integrifolia",1,6,"Solanaceae"
"62","SIAL","Petunia integrifolia",2,4,"Solanaceae"
"63","SIAL","Petunia integrifolia",3,4,"Solanaceae"
"64","SIAL","Petunia integrifolia",4,5,"Solanaceae"
"65","SIAL","Petunia integrifolia",5,5,"Solanaceae"
"66","SIAL","Petunia integrifolia",6,4,"Solanaceae"
"67","SIAL","Petunia integrifolia",7,0,"Solanaceae"
"68","SIAL","Petunia integrifolia",8,0,"Solanaceae"
"69","SIAL","Petunia integrifolia",9,4,"Solanaceae"
"70","SIAL","Petunia integrifolia",10,5,"Solanaceae"
"71","SIAL","Solanum lycopersicum",1,7,"Solanaceae"
"72","SIAL","Solanum lycopersicum",2,0,"Solanaceae"
"73","SIAL","Solanum lycopersicum",3,1,"Solanaceae"
"74","SIAL","Solanum lycopersicum",4,5,"Solanaceae"
"75","SIAL","Solanum lycopersicum",5,5,"Solanaceae"
"76","SIAL","Solanum lycopersicum",6,3,"Solanaceae"
"77","SIAL","Solanum lycopersicum",7,4,"Solanaceae"
"78","SIAL","Solanum lycopersicum",8,4,"Solanaceae"
"79","SIAL","Solanum lycopersicum",9,4,"Solanaceae"
"80","SIAL","Solanum lycopersicum",10,4,"Solanaceae"
"81","SIAL","Solanum melongena",1,0,"Solanaceae"
"82","SIAL","Solanum melongena",2,7,"Solanaceae"
"83","SIAL","Solanum melongena",3,0,"Solanaceae"
"84","SIAL","Solanum melongena",4,0,"Solanaceae"
"85","SIAL","Solanum melongena",5,7,"Solanaceae"
"86","SIAL","Solanum melongena",6,5,"Solanaceae"
"87","SIAL","Solanum melongena",7,4,"Solanaceae"
"88","SIAL","Solanum melongena",8,5,"Solanaceae"
"89","SIAL","Solanum melongena",9,4,"Solanaceae"
"90","SIAL","Solanum melongena",10,0,"Solanaceae"
"91","SIAL","Cross",1,4,"other"
"92","SIAL","Cross",2,0,"other"
"93","SIAL","Cross",3,0,"other"
"94","SIAL","Cross",4,6,"other"
"95","SIAL","Cross",5,6,"other"
"96","SIAL","Cross",6,0,"other"
"97","SIAL","Cross",7,0,"other"
"98","SIAL","Cross",8,7,"other"
"99","SIAL","Cross",9,3,"other"
"100","SIAL","Cross",10,0,"other"
"101","SIAL","Self",1,0,"other"
"102","SIAL","Self",2,4,"other"
"103","SIAL","Self",3,2,"other"
"104","SIAL","Self",4,5,"other"
"105","SIAL","Self",5,4,"other"
"106","SIAL","Self",6,3,"other"
"107","SIAL","Self",7,0,"other"
"108","SIAL","Self",8,0,"other"
"109","SIAL","Self",9,5,"other"
"110","SIAL","Self",10,6,"other"
"111","SIAL","Control",1,0,"other"
"112","SIAL","Control",2,0,"other"
"113","SIAL","Control",3,0,"other"
"114","SIAL","Control",4,4,"other"
"115","SIAL","Control",5,5,"other"
"116","SIAL","Control",6,0,"other"
"117","SIAL","Control",7,0,"other"
"118","SIAL","Control",8,0,"other"
"119","SIAL","Control",9,0,"other"
"120","SIAL","Control",10,0,"other"
"121","SIAL","Flower Control",1,0,"other"
"122","SIAL","Flower Control",2,0,"other"
"123","SIAL","Flower Control",3,3,"other"
"124","SIAL","Flower Control",4,0,"other"
"125","SIAL","Flower Control",5,0,"other"
"126","SIAL","Flower Control",6,0,"other"
"127","SIAL","Flower Control",7,0,"other"
"128","SIAL","Flower Control",8,0,"other"
"129","SIAL","Flower Control",9,0,"other"
"130","SIAL","Flower Control",10,0,"other"
"131","SIAL","Ipomoea aquatica",1,0,"Convolvulaceae"
"132","SIAL","Ipomoea aquatica",2,0,"Convolvulaceae"
"133","SIAL","Ipomoea aquatica",3,0,"Convolvulaceae"
"134","SIAL","Ipomoea aquatica",4,0,"Convolvulaceae"
"135","SIAL","Ipomoea aquatica",5,4,"Convolvulaceae"
"136","SIAL","Ipomoea aquatica",6,0,"Convolvulaceae"
"137","SIAL","Ipomoea aquatica",7,2,"Convolvulaceae"
"138","SIAL","Ipomoea aquatica",8,0,"Convolvulaceae"
"139","SIAL","Ipomoea aquatica",9,0,"Convolvulaceae"
