"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",4.39080175740141,0.254767305524921,109,17.2345574262547,6.63763704874875e-33
"relevel(Treatment, ref = ""Cross"")Brassica oleracea",-0.466512149251618,0.441269917136345,109,-1.05720360970692,0.292756102432516
"relevel(Treatment, ref = ""Cross"")Brassica rapa",-2.7365438809671,0.441269917136345,109,-6.20151923957589,1.02514336196746e-08
"relevel(Treatment, ref = ""Cross"")Capsicum annuum",-4.39080175745733,0.441269917136345,109,-9.95037637270126,5.5383643791375e-17
"relevel(Treatment, ref = ""Cross"")Control",-4.39080175746545,0.42768911580257,109,-10.2663397202101,1.04884510609994e-17
"relevel(Treatment, ref = ""Cross"")Eruca vesicaria",-2.97395710539571,0.441269917136345,109,-6.73954192185916,7.83789301866866e-10
"relevel(Treatment, ref = ""Cross"")Flower control",-0.574658703848792,0.441269917136345,109,-1.30228388913997,0.195564418757411
"relevel(Treatment, ref = ""Cross"")Ipomoea aquatica",-4.12689602449581,0.441269917136345,109,-9.35231672097118,1.28471825514947e-15
"relevel(Treatment, ref = ""Cross"")Ipomoea purpurea",-3.80219135431232,0.441269917136345,109,-8.61647532872154,5.99120479069145e-14
"relevel(Treatment, ref = ""Cross"")Petunia integrifolia",-1.82307507970671,0.441269917136345,109,-4.13142842715791,7.09428651260692e-05
"relevel(Treatment, ref = ""Cross"")Self",-1.87400656880271,0.441269917136346,109,-4.24684868835886,4.57941648651881e-05
"relevel(Treatment, ref = ""Cross"")Sinapis alba",-3.72234058469054,0.441269917136345,109,-8.43551857975489,1.53028269769777e-13
"relevel(Treatment, ref = ""Cross"")Solanum melongena",-1.84148167974942,0.441269917136345,109,-4.17314121864426,6.0616427345344e-05
