Species;Treatment;Treatment number;Seed production;Comment
PEIN;CAAN 50%;1;298;
PEIN;CAAN 50%;2;234;
PEIN;CAAN 50%;3;341;
PEIN;CAAN 50%;4;274;
PEIN;CAAN 50%;5;244;
PEIN;CAAN 50%;6;196;
PEIN;CAAN 50%;7;182;
PEIN;CAAN 50%;8;199;
PEIN;CAAN 50%;9;196;
PEIN;CAAN 50%;10;134;
PEIN;CROSS;1;189;
PEIN;CROSS;2;26;Seeds lost
PEIN;CROSS;3;169;
PEIN;CROSS;4;283;
PEIN;CROSS;5;294;
PEIN;CROSS;6;277;
PEIN;CROSS;7;154;Seeds lost
PEIN;CROSS;8;325;
PEIN;CROSS;9;33;Seeds lost
PEIN;CROSS;10;310;
PEIN;SELF;1;107;
PEIN;SELF;2;144;
PEIN;SELF;3;10;
PEIN;SELF;4;NA;
PEIN;SELF;5;54;
PEIN;SELF;6;13;
PEIN;SELF;7;32;
PEIN;SELF;8;74;
PEIN;SELF;9;13;
PEIN;SELF;10;98;
PEIN;SIAL 50%;1;21;
PEIN;SIAL 50%;2;NA;
PEIN;SIAL 50%;3;61;
PEIN;SIAL 50%;4;17;
PEIN;SIAL 50%;5;20;
PEIN;SIAL 50%;6;NA;
PEIN;SIAL 50%;7;NA;
PEIN;SIAL 50%;8;;
PEIN;SIAL 50%;9;23;
PEIN;SIAL 50%;10;NA;
PEIN;SOLY 50%;1;NA;
PEIN;SOLY 50%;2;NA;
PEIN;SOLY 50%;3;NA;
PEIN;SOLY 50%;4;94;
PEIN;SOLY 50%;5;12;
PEIN;SOLY 50%;6;NA;
PEIN;SOLY 50%;7;81;
PEIN;SOLY 50%;8;NA;
PEIN;SOLY 50%;9;241;
PEIN;SOLY 50%;10;184;
PEIN;IPPU 50 %;1;NA;
PEIN;IPPU 50 %;2;NA;
PEIN;IPPU 50 %;3;NA;
PEIN;IPPU 50 %;4;NA;
PEIN;IPPU 50 %;5;NA;
PEIN;IPPU 50 %;6;NA;
PEIN;IPPU 50 %;7;NA;
PEIN;IPPU 50 %;8;NA;
PEIN;IPPU 50 %;9;61;
PEIN;IPPU 50 %;10;NA;
PEIN;BROL 50%;1;NA;
PEIN;BROL 50%;2;NA;
PEIN;BROL 50%;3;NA;
PEIN;BROL 50%;4;NA;
PEIN;BROL 50%;5;NA;
PEIN;BROL 50%;6;NA;
PEIN;BROL 50%;7;NA;
PEIN;BROL 50%;8;81;
PEIN;BROL 50%;9;62;
PEIN;BROL 50%;10;NA;
