"","Species","Non_focal","value","col_focal","col_non_focal","variable","value.1","close_related","compatibility"
"11","BROL","BRRA",1.80278990126951,"red","red","BRRA",0.0894427190999916,1,"cyan"
"31","BROL","ERSA",2.71896181830811,"red","red","ERSA",0.173205080756888,1,"cyan"
"71","BROL","SIAL",2.54163822146193,"red","red","SIAL",0.161245154965971,1,"cyan"
"2","BRRA","BROL",0.843842127318538,"red","red","BROL",0.0894427190999916,1,"cyan"
"32","BRRA","ERSA",2.74655253431302,"red","red","ERSA",0.173205080756888,1,"cyan"
"72","BRRA","SIAL",2.74655253431302,"red","red","SIAL",0.130384048104053,1,"cyan"
"4","ERSA","BROL",1.04798547472423,"red","red","BROL",0.173205080756888,1,"red"
"14","ERSA","BRRA",0,"red","red","BRRA",0.173205080756888,1,"red"
"74","ERSA","SIAL",0,"red","red","SIAL",0.173205080756888,1,"red"
"8","SIAL","BROL",0.734188096328756,"red","red","BROL",0.161245154965971,1,"red"
"18","SIAL","BRRA",1.19305565653423,"red","red","BRRA",0.130384048104053,1,"red"
"38","SIAL","ERSA",0.734188096328756,"red","red","ERSA",0.173205080756888,1,"red"
"29","SOLY","CAAN",2.67486984726442,"blue","blue","CAAN",0.388587184554509,1,"black"
"69","SOLY","PEIN",1.83847037608132,"blue","blue","PEIN",0.343511280746353,1,"black"
"99","SOLY","SOME",1.81916884982325,"blue","blue","SOME",0.333166624979154,1,"black"
"30","SOME","CAAN",1.24431704572742,"blue","blue","CAAN",0.408656334834051,1,"black"
"70","SOME","PEIN",0.568775186268542,"blue","blue","PEIN",0.371483512420134,1,"black"
"90","SOME","SOLY",0.561980943429156,"blue","blue","SOLY",0.333166624979154,1,"black"
"27","PEIN","CAAN",0,"blue","blue","CAAN",0.408656334834051,1,"black"
"87","PEIN","SOLY",1.60313373871502,"blue","blue","SOLY",0.343511280746353,1,"black"
"97","PEIN","SOME",1.65948096178495,"blue","blue","SOME",0.371483512420134,1,"black"
"63","CAAN","PEIN",3.03597985481332,"blue","blue","PEIN",0.408656334834051,1,"black"
"83","CAAN","SOLY",2.51687449103695,"blue","blue","SOLY",0.388587184554509,1,"black"
"93","CAAN","SOME",2.90650602282247,"blue","blue","SOME",0.408656334834051,1,"black"
"55","IPAQ","IPPU",2.41796113960151,"black","blue","IPPU",0.238746727726266,1,"black"
"46","IPPU","IPAQ",0,"black","blue","IPAQ",0.238746727726266,1,"black"
"21","BROL","CAAN",1.59591237161563,"red","blue","CAAN",0.527257053058563,2,"cyan"
"41","BROL","IPAQ",2.68940788550041,"red","blue","IPAQ",0.544977063737549,2,"cyan"
"51","BROL","IPPU",2.7485157511158,"red","blue","IPPU",0.523450093132096,2,"cyan"
"61","BROL","PEIN",2.45297642303884,"red","blue","PEIN",0.493963561409139,2,"cyan"
"81","BROL","SOLY",2.45297642303884,"red","blue","SOLY",0.503984126734166,2,"cyan"
"91","BROL","SOME",2.54163822146193,"red","blue","SOME",0.510881590977792,2,"cyan"
"22","BRRA","CAAN",1.87741321259949,"red","blue","CAAN",0.527257053058563,2,"cyan"
"42","BRRA","IPAQ",2.32372799942535,"red","blue","IPAQ",0.550454357780915,2,"cyan"
