"","focal","non_focal","focal_pollen","non_focal_pollen","focal_non_focal_pollen"
"1","C. annuum","I. purpurea",258,11,"C. annuum-I. purpurea"
"2","E. sativa","I. purpurea",1308,8,"E. sativa-I. purpurea"
"3","B. oleracea","I. purpurea",90,20,"B. oleracea-I. purpurea"
"4","B. rapa","I. purpurea",193,2,"B. rapa-I. purpurea"
"5","S. melongena","I. aquatica",64,26,"S. melongena-I. aquatica"
"6","P. integrifolia","I. aquatica",23,20,"P. integrifolia-I. aquatica"
"7","S. lycopersicum","I. aquatica",56,10,"S. lycopersicum-I. aquatica"
"8","S. alba","I. aquatica",1617,19,"S. alba-I. aquatica"
"9","I. purpurea","S. melongena",138,362,"I. purpurea-S. melongena"
"10","S. alba","S. melongena",3054,1096,"S. alba-S. melongena"
"11","E. sativa","P. integrifolia",621,321,"E. sativa-P. integrifolia"
"12","B. rapa","S. lycopersicum",1114,246,"B. rapa-S. lycopersicum"
"13","I. aquatica","C. annuum",35,85,"I. aquatica-C. annuum"
"14","B. oleracea","C. annuum",281,209,"B. oleracea-C. annuum"
"15","I. purpurea","E. sativa",27,216,"I. purpurea-E. sativa"
"16","S. melongena","E. sativa",1837,2231,"S. melongena-E. sativa"
"17","P. integrifolia","B. oleracea",332,376,"P. integrifolia-B. oleracea"
"18","I. aquatica","S. alba",42,170,"I. aquatica-S. alba"
"19","C. annuum","S. alba",304,450,"C. annuum-S. alba"
"20","S. lycopersicum","B. rapa",164,208,"S. lycopersicum-B. rapa"
