"","Species","Treatment","Treatment_number","Seed_set","Scale_seed"
"1","SOLY","FLOWER CONTROL",1,66,1.56762580420722
"2","SOLY","FLOWER CONTROL",2,72,1.76064106678793
"3","SOLY","FLOWER CONTROL",3,33,0.50604186001328
"4","SOLY","FLOWER CONTROL",4,81,2.05016396065901
"5","SOLY","FLOWER CONTROL",5,64,1.50328738334698
"6","SOLY","FLOWER CONTROL",6,85,2.17884080237949
"7","SOLY","FLOWER CONTROL",7,0,-0.555542084180659
"8","SOLY","FLOWER CONTROL",8,84,2.14667159194937
"9","SOLY","FLOWER CONTROL",9,53,1.14942606861567
"10","SOLY","FLOWER CONTROL",10,106,2.85439422141199
"11","SOLY","CROSS",1,107,2.88656343184211
"12","SOLY","CROSS",2,92,2.40402527539032
"13","SOLY","CROSS",3,92,2.40402527539032
"14","SOLY","CROSS",4,92,2.40402527539032
"15","SOLY","CROSS",5,96,2.5327021171108
"16","SOLY","CROSS",6,59,1.34244133119638
"17","SOLY","CROSS",7,71,1.72847185635781
"18","SOLY","CROSS",8,79,1.98582553979877
"19","SOLY","CROSS",9,66,1.56762580420722
"20","SOLY","CROSS",10,107,2.88656343184211
"21","SOLY","CROSS",11,93,2.43619448582044
"22","SOLY","CROSS",12,38,0.666887912163876
"23","SOLY","CROSS",13,121,3.33693237786378
"24","SOLY","CROSS",14,44,0.859903174744592
"25","SOLY","CROSS",15,90,2.33968685453008
"26","SOLY","CROSS",16,64,1.50328738334698
"27","SOLY","CROSS",17,53,1.14942606861567
"28","SOLY","CROSS",18,98,2.59704053797104
"29","SOLY","CROSS",19,108,2.91873264227223
"30","SOLY","CROSS",20,93,2.43619448582044
"31","SOLY","SELF",1,0,-0.555542084180659
"32","SOLY","SELF",2,6,-0.362526821599943
"33","SOLY","SELF",3,0,-0.555542084180659
"34","SOLY","SELF",4,81,2.05016396065901
"35","SOLY","SELF",5,4,-0.426865242460181
"36","SOLY","SELF",6,44,0.859903174744592
"37","SOLY","SELF",7,113,3.07957869442283
"38","SOLY","SELF",8,64,1.50328738334698
"39","SOLY","SELF",9,0,-0.555542084180659
"40","SOLY","SELF",10,88,2.27534843366984
"41","SOLY","CONTROL",1,0,-0.555542084180659
"42","SOLY","CONTROL",2,0,-0.555542084180659
"43","SOLY","CONTROL",3,0,-0.555542084180659
"44","SOLY","CONTROL",4,0,-0.555542084180659
"45","SOLY","CONTROL",5,0,-0.555542084180659
"46","SOLY","CONTROL",6,0,-0.555542084180659
"47","SOLY","CONTROL",7,0,-0.555542084180659
"48","SOLY","CONTROL",8,0,-0.555542084180659
"49","SOLY","CONTROL",9,0,-0.555542084180659
"50","SOLY","CONTROL",10,0,-0.555542084180659
"51","SOLY","CONTROL",11,0,-0.555542084180659
"52","SOLY","IPPU 50%",1,0,-0.555542084180659
"53","SOLY","IPPU 50%",2,0,-0.555542084180659
"54","SOLY","IPPU 50%",3,0,-0.555542084180659
"55","SOLY","IPPU 50%",4,0,-0.555542084180659
"56","SOLY","IPPU 50%",5,5,-0.394696032030062
"57","SOLY","IPPU 50%",6,2,-0.49120366332042
"58","SOLY","IPPU 50%",7,0,-0.555542084180659
"59","SOLY","IPPU 50%",8,4,-0.426865242460181
"60","SOLY","IPPU 50%",9,3,-0.459034452890301
"61","SOLY","IPPU 50%",10,0,-0.555542084180659
"72","SOLY","SIAL 50%",1,0,-0.555542084180659
"73","SOLY","SIAL 50%",2,1,-0.523372873750539
"74","SOLY","SIAL 50%",3,3,-0.459034452890301
"75","SOLY","SIAL 50%",4,3,-0.459034452890301
"76","SOLY","SIAL 50%",5,0,-0.555542084180659
"77","SOLY","SIAL 50%",6,0,-0.555542084180659
"78","SOLY","SIAL 50%",7,0,-0.555542084180659
"79","SOLY","SIAL 50%",8,0,-0.555542084180659
"80","SOLY","SIAL 50%",9,24,0.216518966142205
"81","SOLY","SIAL 50%",10,0,-0.555542084180659
"92","SOLY","CAAN 50%",1,0,-0.555542084180659
"93","SOLY","CAAN 50%",2,0,-0.555542084180659
"94","SOLY","CAAN 50%",3,0,-0.555542084180659
"95","SOLY","CAAN 50%",4,0,-0.555542084180659
"96","SOLY","CAAN 50%",5,0,-0.555542084180659
"97","SOLY","CAAN 50%",6,0,-0.555542084180659
"98","SOLY","CAAN 50%",7,0,-0.555542084180659
"99","SOLY","CAAN 50%",8,0,-0.555542084180659
"100","SOLY","CAAN 50%",9,0,-0.555542084180659
"101","SOLY","CAAN 50%",10,0,-0.555542084180659
"112","SOLY","SOME 50%",1,36,0.602549491303638
"113","SOLY","SOME 50%",2,38,0.666887912163876
"114","SOLY","SOME 50%",3,0,-0.555542084180659
"115","SOLY","SOME 50%",4,5,-0.394696032030062
"116","SOLY","SOME 50%",5,64,1.50328738334698
"117","SOLY","SOME 50%",6,11,-0.201680769449346
"118","SOLY","SOME 50%",7,5,-0.394696032030062
"119","SOLY","SOME 50%",8,9,-0.266019190309585
"120","SOLY","SOME 50%",9,2,-0.49120366332042
"121","SOLY","SOME 50%",10,96,2.5327021171108
"132","SOLY","BROL 50%",1,64,1.50328738334698
"133","SOLY","BROL 50%",2,67,1.59979501463734
"134","SOLY","BROL 50%",3,75,1.85714869807829
"135","SOLY","BROL 50%",4,28,0.345195807862683
"136","SOLY","BROL 50%",5,73,1.79281027721805
"137","SOLY","BROL 50%",6,73,1.79281027721805
"138","SOLY","BROL 50%",7,72,1.76064106678793
"139","SOLY","BROL 50%",8,14,-0.105173138158988
"140","SOLY","BROL 50%",9,44,0.859903174744592
"141","SOLY","BROL 50%",10,41,0.763395543454234
"152","SOLY","PEIN 50%",1,61,1.40677975205662
"153","SOLY","PEIN 50%",2,49,1.02074922689519
"154","SOLY","PEIN 50%",3,69,1.66413343549758
"155","SOLY","PEIN 50%",4,5,-0.394696032030062
"156","SOLY","PEIN 50%",5,0,-0.555542084180659
"157","SOLY","PEIN 50%",6,31,0.441703439153041
"158","SOLY","PEIN 50%",7,20,0.0878421244217281
"159","SOLY","PEIN 50%",8,17,-0.00866550686862989
"160","SOLY","PEIN 50%",9,8,-0.298188400739704
"161","SOLY","PEIN 50%",10,0,-0.555542084180659
"182","SOLY","BRRA 50%",1,39,0.699057122593996
"183","SOLY","BRRA 50%",2,64,1.50328738334698
"184","SOLY","BRRA 50%",3,13,-0.137342348589107
"185","SOLY","BRRA 50%",4,5,-0.394696032030062
"186","SOLY","BRRA 50%",5,4,-0.426865242460181
"187","SOLY","BRRA 50%",6,13,-0.137342348589107
"188","SOLY","BRRA 50%",7,0,-0.555542084180659
"189","SOLY","BRRA 50%",8,0,-0.555542084180659
"190","SOLY","BRRA 50%",9,0,-0.555542084180659
"191","SOLY","BRRA 50%",10,0,-0.555542084180659
"212","SOLY","ERSA 50%",1,0,-0.555542084180659
"213","SOLY","ERSA 50%",2,0,-0.555542084180659
"214","SOLY","ERSA 50%",3,7,-0.330357611169823
"215","SOLY","ERSA 50%",4,34,0.538211070443399
"216","SOLY","ERSA 50%",5,16,-0.0408347172987492
"217","SOLY","ERSA 50%",6,22,0.152180545281967
"218","SOLY","ERSA 50%",7,12,-0.169511559019227
"219","SOLY","ERSA 50%",8,0,-0.555542084180659
"220","SOLY","ERSA 50%",9,0,-0.555542084180659
"221","SOLY","ERSA 50%",10,0,-0.555542084180659
"232","SOLY","IPAQ 50%",1,0,-0.555542084180659
"233","SOLY","IPAQ 50%",2,0,-0.555542084180659
"234","SOLY","IPAQ 50%",3,13,-0.137342348589107
"235","SOLY","IPAQ 50%",4,0,-0.555542084180659
"236","SOLY","IPAQ 50%",5,0,-0.555542084180659
"237","SOLY","IPAQ 50%",6,0,-0.555542084180659
"238","SOLY","IPAQ 50%",7,0,-0.555542084180659
"239","SOLY","IPAQ 50%",8,0,-0.555542084180659
"240","SOLY","IPAQ 50%",9,0,-0.555542084180659
"241","SOLY","IPAQ 50%",10,0,-0.555542084180659
"110","SOME","CROSS",1,231,0.143364994618496
"210","SOME","CROSS",2,676,1.58309740582157
"310","SOME","CROSS",3,741,1.79339539846921
"410","SOME","CROSS",4,524,1.0913236383994
