;IPPU;IPAQ;SOME;PEIN;SOLY;CAAN;ERSA;BROL;SIAL;BRRA
IPPU;NA;NA;33;NA;NA;NA;19;NA;NA;NA
IPAQ;NA;NA;NA;NA;NA;31;NA;NA;29;NA
SOME;NA;74;NA;NA;NA;NA;46;NA;NA;NA
PEIN;NA;49;NA;NA;NA;NA;49;NA;NA;NA
SOLY;NA;84;NA;NA;NA;NA;NA;NA;NA;49
CAAN;95;NA;NA;NA;NA;NA;NA;NA;38;NA
ERSA;99;NA;NA;67;NA;NA;NA;NA;NA;NA
BROL;63;NA;NA;NA;NA;57;NA;NA;NA;NA
SIAL;NA;99;73;NA;NA;NA;NA;NA;NA;NA
BRRA;99;NA;NA;NA;83;NA;NA;NA;NA;NA
