"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",2.36945014968556,0.166973496568085,108,14.1905763392779,1.96899587574897e-26
"relevel(Treatment, ref = ""Cross"")Brassica oleracea",-0.541296159746663,0.247526240319318,108,-2.18682334062187,0.0309126024994037
"relevel(Treatment, ref = ""Cross"")Capsicum annuum",-1.41780143671474,0.247526240319318,108,-5.72788337465041,9.27436734193807e-08
"relevel(Treatment, ref = ""Cross"")Control",-2.36659864757219,0.247526240319318,108,-9.56100106606552,4.64808602100553e-16
"relevel(Treatment, ref = ""Cross"")Eruca vesicaria",-2.36659864757218,0.247526240319318,108,-9.56100106606551,4.6480860210058e-16
"relevel(Treatment, ref = ""Cross"")Flower Control",-2.36659864757219,0.247526240319318,108,-9.56100106606551,4.64808602100557e-16
"relevel(Treatment, ref = ""Cross"")Ipomoea aquatica",-1.9155126969205,0.247526240319318,108,-7.73862477953619,5.69205567889275e-12
"relevel(Treatment, ref = ""Cross"")Ipomoea purpurea",-2.25673741870538,0.247526240319318,108,-9.11716436929719,4.72119363693503e-15
"relevel(Treatment, ref = ""Cross"")Petunia integrifolia",-2.3665986475722,0.247526240319318,108,-9.56100106606553,4.64808602100533e-16
"relevel(Treatment, ref = ""Cross"")Self",-2.36659864757219,0.247526240319318,108,-9.56100106606552,4.64808602100543e-16
"relevel(Treatment, ref = ""Cross"")Sinapis alba",-2.36659864757219,0.247526240319318,108,-9.56100106606552,4.64808602100543e-16
"relevel(Treatment, ref = ""Cross"")Solanum lycopersicum",-1.88139562118023,0.247526240319318,108,-7.60079262203943,1.14102705898373e-11
"relevel(Treatment, ref = ""Cross"")Solanum melongena",-2.3665986475722,0.247526240319318,108,-9.56100106606553,4.64808602100517e-16
