1,2,3,4,5,6,7,8,9,10,11
1,,,,,,,,,,
2,0.706,,,,,,,,,
3,0.694,0.03,,,,,,,,
4,0.715,0.008,0.03,,,,,,,
5,0.717,0.026,0.03,0.017,,,,,,
6,0.679,0.274,0.289,0.28,0.288,,,,,
7,0.688,0.297,0.302,0.303,0.293,0.057,,,,
8,0.728,0.244,0.242,0.255,0.254,0.223,0.234,,,
9,0.591,0.278,0.286,0.278,0.271,0.161,0.16,0.167,,
10,0.683,0.261,0.255,0.272,0.266,0.19,0.167,0.138,0.167,
11,0.686,0.254,0.225,0.254,0.249,0.228,0.216,0.118,0.151,0.111
