"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",3.59011484927196,2.77383897540444,116,1.29427658963098,0.19814061562662
"relevel(Treatment, ref = ""Cross"")Brassica oleracea",-0.666121104136995,0.41944201510222,116,-1.58811249267591,0.114982953125741
"relevel(Treatment, ref = ""Cross"")Brassica rapa",-1.03066265742387,0.446091832944585,116,-2.31042709439584,0.0226320191673081
"relevel(Treatment, ref = ""Cross"")Capsicum annuum",-1.22764528051887,0.422486128067334,116,-2.90576470790827,0.00438891393394961
"relevel(Treatment, ref = ""Cross"")Control",-0.837991874546955,0.489902759168514,116,-1.71052695430668,0.0898416402094267
"relevel(Treatment, ref = ""Cross"")Eruca vesicaria",-0.917992904724037,0.431489630858352,116,-2.12749702211359,0.0354964437677404
"relevel(Treatment, ref = ""Cross"")Flower control",-0.959170872307569,0.431489630858352,116,-2.22292913597834,0.0281587452179832
"relevel(Treatment, ref = ""Cross"")Ipomoea aquatica",-0.837991874546958,0.489902759168515,116,-1.71052695430668,0.0898416402094264
"relevel(Treatment, ref = ""Cross"")Ipomoea purpurea",-0.504246740585541,0.431489630858353,116,-1.1686184430028,0.244953414163026
"relevel(Treatment, ref = ""Cross"")Petunia integrifolia",-0.327682998081618,0.422486128067334,116,-0.775606526019225,0.439559713896765
"relevel(Treatment, ref = ""Cross"")Self",0.350031707410996,0.419442015102221,116,0.83451751328653,0.405704750000511
"relevel(Treatment, ref = ""Cross"")Sinapis alba",-1.10743298270414,0.41944201510222,116,-2.64025286649993,0.00942463447077881
"relevel(Treatment, ref = ""Cross"")Solanum lycopersicum",-0.294061354714626,0.420205110781736,116,-0.699804326909694,0.485450548127563
