,IPPU,IPAQ,SOME,PEIN,SOLY,CAAN,ERSA,BROL,SIAL,BRRA
IPPU,NA,NA,138,NA,NA,NA,27,NA,NA,NA
IPAQ,NA,NA,NA,NA,NA,35,NA,NA,42,NA
SOME,NA,64,NA,NA,NA,NA,1837,NA,NA,NA
PEIN,NA,23,NA,NA,NA,NA,NA,332,NA,NA
SOLY,NA,56,NA,NA,NA,NA,NA,NA,NA,164
CAAN,258,NA,NA,NA,NA,NA,NA,NA,304,NA
ERSA,1308,NA,NA,621,NA,NA,NA,NA,NA,NA
BROL,90,NA,NA,NA,NA,281,NA,NA,NA,NA
SIAL,NA,1617,3054,NA,NA,NA,NA,NA,NA,NA
BRRA,193,NA,NA,NA,1114,NA,NA,NA,NA,NA
