"","Species","Treatment","Treatment.number","Seed.production","Family"
"111","ERSA","Self",1,0,"other"
"112","ERSA","Self",2,0,"other"
"113","ERSA","Self",3,1,"other"
"114","ERSA","Self",4,0,"other"
"115","ERSA","Self",5,0,"other"
"116","ERSA","Self",6,0,"other"
"117","ERSA","Self",7,0,"other"
"118","ERSA","Self",8,0,"other"
"119","ERSA","Self",9,0,"other"
"120","ERSA","Self",10,0,"other"
"121","ERSA","Control",1,0,"other"
"122","ERSA","Control",2,0,"other"
"123","ERSA","Control",3,0,"other"
"124","ERSA","Control",4,0,"other"
"125","ERSA","Control",5,0,"other"
"126","ERSA","Control",6,0,"other"
"127","ERSA","Control",7,0,"other"
"128","ERSA","Control",8,0,"other"
"129","ERSA","Control",9,0,"other"
"130","ERSA","Control",10,0,"other"
"131","ERSA","Flower Control",1,0,"other"
"132","ERSA","Flower Control",2,0,"other"
"133","ERSA","Flower Control",3,0,"other"
"134","ERSA","Flower Control",4,0,"other"
"135","ERSA","Flower Control",5,0,"other"
"136","ERSA","Flower Control",6,0,"other"
"137","ERSA","Flower Control",7,0,"other"
"138","ERSA","Flower Control",8,0,"other"
"139","ERSA","Flower Control",9,0,"other"
"140","ERSA","Flower Control",10,0,"other"
