;IPPU;IPAQ;SOME;PEIN;SOLY;CAAN;ERSA;BROL;SIAL;BRRA
IPPU;NA;NA;67;NA;NA;NA;81;NA;NA;NA
IPAQ;NA;NA;NA;NA;NA;69;NA;NA;71;NA
SOME;NA;26;NA;NA;NA;NA;54;NA;NA;NA
PEIN;NA;51;NA;NA;NA;NA;51;NA;NA;NA
SOLY;NA;16;NA;NA;NA;NA;NA;NA;NA;51
CAAN;5;NA;NA;NA;NA;NA;NA;NA;62;NA
ERSA;1;NA;NA;33;NA;NA;NA;NA;NA;NA
BROL;37;NA;NA;NA;NA;43;NA;NA;NA;NA
SIAL;NA;1;27;NA;NA;NA;NA;NA;NA;NA
BRRA;1;NA;NA;NA;17;NA;NA;NA;NA;NA
